№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
24;7060245-1;50986678-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Средство моющее;Средство для стекол (запаска со спиртом после дождя, фасовка- 500 мл.);150;Штука;437.50;65 625.00;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
25;7060245-1;50985551-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Средство чистящее;Средство чистящее сухое (универ. лимон 475 гр);70;Штука;165.18;11 562.60;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
26;7060245-1;50986209-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Средство моющее;Средство для удаления жира (лимон гель 500 мл);50;Штука;312.50;15 625.00;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
27;7060245-1;50949495-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Веник;Веник сорго;10;Штука;758.93;7 589.30;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
28;7060245-1;50950428-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Кисть;Кисти малярные ширина 8 см;10;Штука;200.89;2 008.90;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
29;7060245-1;50988446-ЗЦП3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Известь;Известь (фасованная);100;Килограмм;227.68;22 768.00;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
30;7060245-1;50946790-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Салфетка;Салфетки бумажные белые;100;Упаковка;80.36;8 036.00;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
31;7060245-1;50943833-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Перчатки;Перчатки резиновые гелиевые;150;Пара;267.00;40 050.00;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
32;7059786-1;50933349-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Средство дезинфицирующее;Средство дезинфицирующие антисептик для рук фасовка 1 л.;5;Штука;1 741.07;8 705.35;2022-03-03 15:20:00;2022-03-11 15:20:00;Запрос ценовых предложений;Закупка не состоялась
33;7059786-1;50933875-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Маска;Маска медицинская;15000;Штука;8.93;133 950.00;2022-03-03 15:20:00;2022-03-11 15:20:00;Запрос ценовых предложений;Закупка не состоялась
34;7059786-1;50935757-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Перчатки;Перчатки стерильные;500;Пара;89.29;44 645.00;2022-03-03 15:20:00;2022-03-11 15:20:00;Запрос ценовых предложений;Закупка не состоялась
35;7057980-1;50918400-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Фотокамера цифровая;Экшн камера с подводным боксом;1;Штука;50 000.00;50 000.00;2022-03-03 13:00:00;2022-03-11 13:00:00;Запрос ценовых предложений;Закупка не состоялась
36;7047651-1;46246452-ЗЦП3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Овес;Овес кормовой для животных;91.08;Тонна (метрическая);120 000.00;10 929 600.00;2022-03-02 16:00:00;2022-03-10 16:00:00;Запрос ценовых предложений;Закупка не состоялась
37;7047366-1;50916144-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги по организации/проведению конференций/семинаров/форумов/конкурсов/корпоративных/спортивных/культурных/праздничных и аналогичных мероприятий;Услуги по проведению соревнования по подледной рыбной ловли;1;Одна услуга;401 785.71;401 785.71;2022-03-02 16:00:00;2022-03-10 16:00:00;Запрос ценовых предложений;Закупка не состоялась
38;7035637-1;50985203-ЗЦП3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Сетка москитная;Сетка москитная;100;Метр;348.00;34 800.00;2022-03-02 10:00:00;2022-03-10 10:00:00;Запрос ценовых предложений;Закупка не состоялась
39;6998783-1;46246452-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Овес;Овес кормовой для животных;91.08;Тонна (метрическая);120 000.00;10 929 600.00;2022-02-24 18:10:10;2022-03-02 11:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
40;6991480-1;50885028-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги по предоставлению доступа к информационным ресурсам;Услуги по приобретению и установке базы данных «Система Финансовый директор»;1;Одна услуга;648 660.71;648 660.71;2022-02-25 09:10:00;2022-03-04 09:10:00;Запрос ценовых предложений;Закупка не состоялась
41;6984371-1;51096530-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Фреза;Фреза на мотоплуг;1;Пара;21 607.14;21 607.14;2022-02-23 16:10:04;2022-02-28 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
42;6984371-1;50995090-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Задвижка;Задвижка чугунная на насосную станцию д.200, Согласно технической спецификации;1;Штука;31 785.71;31 785.71;2022-02-23 16:10:04;2022-02-28 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
43;6984371-1;50995019-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Задвижка;Задвижка чугунная на насосную станцию д.100, Согласно технической спецификации;9;Штука;22 187.50;199 687.50;2022-02-23 16:10:04;2022-02-28 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
44;6984371-1;50990870-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Стартер;Стартер на триммер;5;Штука;4 642.00;23 210.00;2022-02-23 16:10:04;2022-02-28 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
45;6984371-1;50990485-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Диск;Диск для циркулярной пилы 350мм, д.50;3;Штука;11 785.71;35 357.13;2022-02-23 16:10:04;2022-02-28 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
46;6984371-1;50990070-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Цепь;Цепь на бензопилу;4;Штука;2 232.00;8 928.00;2022-02-23 16:10:04;2022-02-28 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
47;6984371-1;50989315-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Напильник;Напильник на цепь;10;Штука;267.86;2 678.60;2022-02-23 16:10:04;2022-02-28 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
48;6984371-1;50988953-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Круг;Диск отрезной по металлу д120.;10;Штука;178.57;1 785.70;2022-02-23 16:10:04;2022-02-28 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
49;6984371-1;50988395-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Гвоздь строительный;Гвозди на 120-150;10;Килограмм;633.93;6 339.30;2022-02-23 16:10:04;2022-02-28 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
50;6984371-1;50985365-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Калькулятор;Калькулятор;1;Штука;1 607.14;1 607.14;2022-02-23 16:10:04;2022-02-28 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
51;6984371-1;50985108-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Нож;Ножи для прополки;50;Штука;178.57;8 928.50;2022-02-23 16:10:04;2022-02-28 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
52;6984371-1;50951473-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Ведро;Ведро оцинкованное 10 литров;10;Штука;1 250.00;12 500.00;2022-02-23 16:10:04;2022-02-28 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
53;6965043-1;50916144-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги по организации/проведению конференций/семинаров/форумов/конкурсов/корпоративных/спортивных/культурных/праздничных и аналогичных мероприятий;Услуги по проведению соревнования по подледной рыбной ловли;1;Одна услуга;401 785.71;401 785.71;2022-02-22 12:55:00;2022-03-01 12:55:00;Запрос ценовых предложений;Закупка не состоялась
54;6952365-1;46244407-ОИ4;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Бензин для двигателей с искровым зажиганием;Бензин АИ-92;29807.08;Литр (куб. дм.);162.50;4 843 650.50;2022-02-21 12:56:59;2022-02-28 12:56:59;Из одного источника по несостоявшимся закупкам;Закупка состоялась
55;6945185-1;50947889-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Сердцевина;Сердцевина замка;10;Штука;982.14;9 821.40;2022-02-18 16:25:34;2022-02-23 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
56;6945185-1;50950533-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Замок;Замок навесной большой;15;Штука;1 741.07;26 116.05;2022-02-18 16:25:34;2022-02-23 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
57;6945185-1;50988446-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Известь;Известь (фасованная);100;Килограмм;227.68;22 768.00;2022-02-18 16:25:34;2022-02-23 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
58;6940522-1;50935955-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Термометр;Бесконтактный инфракрасный термометр;2;Штука;4 464.29;8 928.58;2022-02-18 11:52:06;2022-02-23 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
59;6932143-1;46245168-ОК1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Ячмень;Ячмень кормовой для животных;182.49;Тонна (метрическая);115 000.00;20 986 350.00;2022-02-25 10:48:04;2022-03-12 10:48:04;Открытый конкурс;Закупка состоялась
60;6932006-1;46246452-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Овес;Овес кормовой для животных;91.08;Тонна (метрическая);120 000.00;10 929 600.00;2022-02-17 16:30:00;2022-02-24 16:30:00;Запрос ценовых предложений;Закупка не состоялась
61;6926555-1;50886680-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги полиграфические по изготовлению/печатанию полиграфической продукции (кроме книг, фото, периодических изданий);Услуги по изготовлению путевок на рыбалку;1;Одна услуга;312 500.00;312 500.00;2022-02-17 11:30:00;2022-02-24 11:30:00;Запрос ценовых предложений;Закупка состоялась
62;6918219-1;50914382-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги по размещению рекламы в печатных периодических изданиях;Услуги СМИ;1;Одна услуга;892 857.14;892 857.14;2022-02-16 16:15:21;2022-02-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
63;6916801-1;50995563-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Удобрение;Минеральное удобрение. Согласно технической спецификации.;1200;Килограмм;580.36;696 432.00;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка состоялась
64;6916801-1;51095779-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Фреза;Фреза почвенная;1;Штука;575 892.86;575 892.86;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка состоялась
65;6916801-1;50985310-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Ветошь;Ветошь;2;Рулон;8 928.57;17 857.14;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка не состоялась
66;6916801-1;50989315-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Напильник;Напильник на цепь;10;Штука;267.86;2 678.60;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка не состоялась
67;6916801-1;50987783-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Гвоздь строительный;Гвозди на 40.;265;Килограмм;678.57;179 821.05;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка состоялась
68;6916801-1;50988395-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Гвоздь строительный;Гвозди на 120-150;10;Килограмм;633.93;6 339.30;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка не состоялась
69;6916801-1;50985108-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Нож;Ножи для прополки;50;Штука;178.57;8 928.50;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка не состоялась
70;6916801-1;50990870-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Стартер;Стартер на триммер;5;Штука;4 642.00;23 210.00;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка не состоялась
71;6916801-1;50985365-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Калькулятор;Калькулятор;1;Штука;1 607.14;1 607.14;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка не состоялась
72;6916801-1;50995019-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Задвижка;Задвижка чугунная на насосную станцию д.100, Согласно технической спецификации;9;Штука;22 187.50;199 687.50;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка не состоялась
73;6916801-1;51096530-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Фреза;Фреза на мотоплуг;1;Пара;21 607.14;21 607.14;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка не состоялась
74;6916801-1;50988953-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Круг;Диск отрезной по металлу д120.;10;Штука;178.57;1 785.70;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка не состоялась
75;6916801-1;50990485-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Диск;Диск для циркулярной пилы 350мм, д.50;3;Штука;11 785.71;35 357.13;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка не состоялась
76;6916801-1;50995090-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Задвижка;Задвижка чугунная на насосную станцию д.200, Согласно технической спецификации;1;Штука;31 785.71;31 785.71;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка не состоялась
77;6916801-1;50951473-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Ведро;Ведро оцинкованное 10 литров;10;Штука;1 250.00;12 500.00;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка не состоялась
78;6916801-1;50990070-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Цепь;Цепь на бензопилу;4;Штука;2 232.00;8 928.00;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка не состоялась
79;6916801-1;50985554-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Полотенце;Полотенце;5;Штука;491.07;2 455.35;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка не состоялась
80;6916801-1;50988262-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Гвоздь строительный;Гвозди на 70;110;Килограмм;651.79;71 696.90;2022-02-16 16:00:00;2022-02-23 16:00:00;Запрос ценовых предложений;Закупка состоялась
81;6916542-1;50985203-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Сетка москитная;Сетка москитная;100;Метр;348.00;34 800.00;2022-02-16 15:06:39;2022-02-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
82;6916540-1;50995287-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Гербицид;Гербицид сплошного действия;100;Литр (куб. дм.);4 910.71;491 071.00;2022-02-16 15:06:21;2022-02-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
83;6916539-1;50985631-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Секатор;Секатор;20;Штука;1 339.29;26 785.80;2022-02-16 15:06:10;2022-02-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
