№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
10;4701062-1;31035955-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Средство специальное;Основное моющее средство для параконвекционного автомата с программой самостоятельной мойки , кислота для удаления жиров и накипии конвектоматов с программой самостоятельной мойки Д 9;47;Штука;17 200.00;808 400.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Закупка не состоялась
11;4701062-1;31057060-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Салфетка;Салфетка из спанлейс размер 47*30, не менее 100 шт в упаковке;120;Упаковка;1 020.00;122 400.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
12;4701062-1;30998594-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Средство моющее;Отбеливатель. Средство с комплексным действием с содержанием хлора, во флаконе обьемом не менее 1 л.;1130;Штука;320.00;361 600.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Закупка не состоялась
13;4697027-1;31312943-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Нить;Нитки разноцветные, в уп 10 цвета. Намотка ярд:400(375м), состав 100% полиэстер, толщина:40/2.;27;Упаковка;2 020.00;54 540.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Закупка не состоялась
14;4697027-1;31312979-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Салфетка;Салфетки-цветные бумажные(цветные) в упаковке 100шт;10;Упаковка;420.00;4 200.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
15;4697027-1;31312914-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Пленка;ПЛЕНКА полиэтиленовая 150 мкр ширина1,5м * длина 100м прозрачная;1;Рулон;29 000.00;29 000.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Закупка не состоялась
16;4697027-1;31312931-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Нить;Нитки для швейых машин в катушках цвет коралловый. Нитки-бобины 100% полистер крутка-40 длина 5000 м;10;Катушка условная;1 120.00;11 200.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Закупка не состоялась
17;4697027-1;31312955-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Вешалка;Вешалка, металлическая, передвижная. При необходимости зафиксировать на одном месте снабжена специальными стопорами на колесах. Порошковая окраска белого цвета для износостойкости.Выдерживает общий вес до 30кг. Габаритные размеры: высота 154 см,ширина 55 см,глубина 72 см. С чехлом.;5;Штука;180 000.00;900 000.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Закупка не состоялась
18;4697027-1;31312969-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Доска;Гладильный стол поверхность из ДСП, покрытый качественной х/б тканью. Пластиковые наконечники на опорах против скольжения и повреждения пола. Два положения высоты 0,7 и 0,8 м. Сертифицированный электросоединитель 2,2 м. Выдвижная подставка под утюг. С запасным чехлом.;2;Штука;28 800.00;57 600.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Закупка не состоялась
19;4697027-1;31312987-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Светильник;Влагостойкий настенный светильник масмим нагрузка 42 Вт, длина,мм 286,ширина,мм 55,высота мм,55,торговая группа -подсветка,материал металл,цвет хром,плафон белый;15;Штука;16 000.00;240 000.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Закупка не состоялась
20;4697027-1;31312960-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Диск;Сменный диск для расскроиного ножа 10мм, 8-ми гранный.;5;Штука;4 500.00;22 500.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
21;4697027-1;31312934-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Нить;Нитки для швейых машин в катушках цвет черный. Нитки-бобины 100% полистер крутка-40 длина 5000 м;5;Катушка условная;1 120.00;5 600.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Закупка не состоялась
22;4697027-1;31312986-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Тройник электрический;с заземлением, с 2 USB портами, цвет белый, 3 гнезда.;5;Штука;3 700.00;18 500.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
23;4697027-1;31313028-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Линейка;Линейка портновская металлическая для замера ткани. 30 см.;1;Штука;800.00;800.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
24;4697027-1;31313018-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Емкость;"Демонстрационный чемодан (рациональное питание) ""Дисплей тренирует глаза для определения размеров порций, связав их с повседневными вещами. Чехол для переноски размером не менее: 50 см х 35 см х 7см""";1;Штука;6 000.00;6 000.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
25;4697027-1;31313064-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Сковорода;Сковорода гриль квадратная Антипригарная,диам.30-50см;1;Штука;21 000.00;21 000.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
26;4697027-1;31313029-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Лента-линейка;Сантиметровая лента с делением в 1 см с двух сторон. Обшая длина 150 см.;1;Штука;600.00;600.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
27;4697027-1;31313045-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Емкость;Гастроемкости из нержавеющей стали ― это специальные пищевые лотки, предназначенные для приготовления различных блюд – мясных, овощных, рыбных, кондитерских и хлебобулочных изделий. Благодаря высокому качеству материала, гастроемкости из нержавеющей стали отлично подходят для подогрева и хранения продуктов, а также их транспортировки. Нержав сталь, размер GN 1/2 h 150;1;Штука;51 200.00;51 200.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
28;4697027-1;31313051-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Весы;электрические, для продуктов, от 5 до 30кг;1;Штука;21 000.00;21 000.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Закупка не состоялась
29;4697027-1;31313053-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Насадка;Нержавеющая сталь ,по штучно;2;Штука;330.00;660.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
30;4697027-1;31313027-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Мелок;Мел мыло портновское, самоисчезающее, 50 шт в упаковке.;2;Упаковка;6 000.00;12 000.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
31;4697027-1;31313037-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Ковш-черпак;Ковш из прочного пропилена с длинной ручкой.;1;Штука;4 100.00;4 100.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
32;4697027-1;31313050-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Крем;Крем для депиляции медицинский, гипоаллергенный, тюбик 100 мл.;23;Штука;3 800.00;87 400.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Закупка не состоялась
33;4685397-1;31239548-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;"Автоматы трехполюсные 3Р С80А АВТ. ВЫКЛ 3Р С80А; номинальный рабочий ток - 80 А;";5;Штука;21 428.57;107 142.85;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
34;4685397-1;31239467-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;Автоматы трехполюсные 3Р С63А АВТ. ВЫКЛ 3Р С63А тип C (динрейка);5;Штука;2 767.85;13 839.25;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
35;4685397-1;31238959-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;Автоматы двухполюсные 2Р С16А АВТ. ВЫКЛ 2Р С16А тип C (динрейка);5;Штука;2 767.85;13 839.25;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
36;4685397-1;31239820-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;"Автоматы трехполюсные 3Р D160А АВТ. ВЫКЛ 3Р D160А; номинальный рабочий ток - 160 А;";3;Штука;25 000.00;75 000.00;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
37;4685397-1;31239991-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;"Автоматы трехполюсные 3Р C400А АВТ. ВЫКЛ 3Р C400А номинальный рабочий ток - 400А;";3;Штука;103 571.42;310 714.26;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
38;4685397-1;31239916-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;"Автоматы трехполюсные 3Р С250А АВТ. ВЫКЛ 3Р С250А номинальный рабочий ток - 250А;";3;Штука;103 571.42;310 714.26;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
39;4685397-1;31239848-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;"Автоматы трехполюсные 3Р C200А; АВТ. ВЫКЛ 3Р C200А; номинальный рабочий ток - 200 А;";3;Штука;25 000.00;75 000.00;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
40;4685397-1;31239728-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;"Автоматы трехполюсные 3Р D63А АВТ. ВЫКЛ 3Р D63А; номинальный рабочий ток - 63 А;";3;Штука;22 321.42;66 964.26;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
41;4685397-1;31239746-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;"Автоматы трехполюсные 3Р С125А АВТ. ВЫКЛ 3Р С125А; номинальный рабочий ток - 125 А;";3;Штука;22 321.42;66 964.26;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
42;4685397-1;31240018-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;"Автоматы трехполюсные 3Р D400А АВТ. ВЫКЛ 3Р D400А номинальный рабочий ток - 400А;";3;Штука;112 500.00;337 500.00;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
43;4685397-1;31239887-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;"Автоматы трехполюсные 3Р D200А АВТ. ВЫКЛ 3Р D200А; номинальный рабочий ток - 200 А;";3;Штука;57 142.85;171 428.55;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
44;4685397-1;31239687-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;"Автоматы трехполюсные 3Р С63А АВТ. ВЫКЛ 3Р С63А; номинальный рабочий ток - 63 А;";3;Штука;21 428.57;64 285.71;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
45;4685397-1;31239802-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;"Автоматы трехполюсные 3Р С160А АВТ. ВЫКЛ 3Р С160А; номинальный рабочий ток - 160 А;";3;Штука;25 000.00;75 000.00;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
46;4685397-1;31238904-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;Автоматы однополюсные 1P С16A АВТ. ВЫКЛ 1P С16A тип C (динрейка);5;Штука;2 767.85;13 839.25;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
47;4685397-1;31261775-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Розетка;Розетка внутренней установки 220В 5А;100;Штука;1 160.71;116 071.00;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
48;4685397-1;31239453-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;Автоматы трехполюсные 3Р С40А АВТ. ВЫКЛ 3Р С40А тип C (динрейка);5;Штука;2 767.85;13 839.25;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
49;4685397-1;31239614-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;"Автоматы трехполюсные 3Р D40А АВТ. ВЫКЛ 3Р D40А; номинальный рабочий ток - 40 А;";5;Штука;21 428.57;107 142.85;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
50;4685397-1;31239567-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;"Автоматы трехполюсные 3Р С100А АВТ. ВЫКЛ 3Р С100А; номинальный рабочий ток - 100 А;";5;Штука;21 428.57;107 142.85;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
51;4685397-1;31260114-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Выключатель;Выключатели внутренние двухклавишные 220В, 5А;20;Штука;892.85;17 857.00;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
52;4685397-1;31260694-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Розетка;Розетка наружного исполнения, 220В 5А;80;Штука;1 160.71;92 856.80;2020-07-28 09:00:00;2020-07-30 18:00:00;Запрос ценовых предложений;Закупка не состоялась
53;4683142-1;30767050-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Натрия альгинат;Натрия алгинат суппозитории ректальные 250 мг;210;Штука;321.50;67 515.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка состоялась
54;4683142-1;30767737-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Норфлоксацин;Норфлоксацин таблетки 400мг;160;Штука;79.00;12 640.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка состоялась
55;4683142-1;30776142-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Материал специальный;99mTc albumin nanocolloid лиофилизат для приготовления р-ра для вв введения 10 мл флаконы (5) коробки кортонные;1;Упаковка;1 104 000.00;1 104 000.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка состоялась
56;4683142-1;30771669-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Цитиколин;Цитиколин раствор для инъекций 1000мг/4мл;3015;Ампула;730.00;2 200 950.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка не состоялась
57;4683142-1;35758197-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Протаргол;Протаргол раствор для наружного применения 2% 200 мл;36;Флакон;2 883.00;103 788.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка не состоялась
58;4683142-1;30742885-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Вода;Вода для инъекций растворитель для приготовления лекарственных форм для инъекций 5 мл;13871;Ампула;55.00;762 905.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка состоялась
59;4683142-1;30768378-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Сыворотка;Сыворотка противостолбнячная лошадиная раствор для инъекций в комплекте с сывороткой лошадиной очищенной разведенной 1:100. 3000МЕ, 1мл;5;Ампула;1 512.00;7 560.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка не состоялась
60;4683142-1;35753829-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Вода морская, вода очищенная;Вода очищенная стерильная 200 мл;1950;Флакон;250.00;487 500.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка не состоялась
61;4683142-1;30742911-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Гидрокортизон;Гидрокортизон мазь для наружного применения 1 % 10 г;500;Штука;225.00;112 500.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка не состоялась
62;4683142-1;30750256-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Зопиклон;Зопиклон таблетки, покрытые оболочкой 7,5 мг;400;Штука;39.11;15 644.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка не состоялась
63;4683142-1;35753882-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Фенолфталеин;Фенолфталеин спиртовый раствор для наружного применения 1% 200 мл;9;Флакон;2 165.00;19 485.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Отказ от лота
64;4683142-1;35758121-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Формалин;Формалин раствор для наружного применения 10% 50 мл;42;Флакон;489.00;20 538.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Отказ от лота
65;4683142-1;30742798-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Ацетилцистеин;Ацетилцистеин таблетки шипучие 600 мг;2280;Штука;154.30;351 804.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка не состоялась
66;4683142-1;30772402-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Этанол;Этанол раствор 70% 50 мл;6016;Флакон;85.00;511 360.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка не состоялась
67;4683142-1;30769618-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Тропикамид;Тропикамид капли глазные 1% 10 мл;50;Флакон;1 386.64;69 332.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка состоялась
68;4683142-1;30769234-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Тиамин;Тиамин раствор для инъекций 5%, 1мл;2000;Ампула;32.00;64 000.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка не состоялась
69;4683142-1;35756786-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Транексамовая кислота;Транексамовая кислота раствор для инъекций 100 мг/мл 5мл;755;Ампула;995.00;751 225.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка состоялась
70;4683142-1;35758165-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Формалин;Формалин раствор для наружного применения 10% 500 мл;67;Флакон;1 447.00;96 949.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка не состоялась
71;4683142-1;30742766-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Атропина сульфат;Атропина сульфат раствор для инъекций 1мг/мл;450;Ампула;46.00;20 700.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка состоялась
72;4683142-1;35750076-ЗЦП2;;"РГП ""Больница МЦ УДП РК""";Товар;Декспантенол;Декспантенол гель глазной 5% , 10 г;20;Штука;3 404.00;68 080.00;2020-07-27 11:05:00;2020-08-04 11:05:00;Запрос ценовых предложений;Закупка состоялась
73;4661327-1;30767050-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Натрия альгинат;Натрия алгинат суппозитории ректальные 250 мг;210;Штука;321.50;67 515.00;2020-07-22 09:00:00;2020-07-24 18:00:00;Запрос ценовых предложений;Закупка не состоялась
74;4661327-1;30767737-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Норфлоксацин;Норфлоксацин таблетки 400мг;160;Штука;79.00;12 640.00;2020-07-22 09:00:00;2020-07-24 18:00:00;Запрос ценовых предложений;Закупка не состоялась
75;4661327-1;30776142-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Материал специальный;99mTc albumin nanocolloid лиофилизат для приготовления р-ра для вв введения 10 мл флаконы (5) коробки кортонные;1;Упаковка;1 104 000.00;1 104 000.00;2020-07-22 09:00:00;2020-07-24 18:00:00;Запрос ценовых предложений;Закупка не состоялась
76;4661327-1;30771669-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Цитиколин;Цитиколин раствор для инъекций 1000мг/4мл;3015;Ампула;730.00;2 200 950.00;2020-07-22 09:00:00;2020-07-24 18:00:00;Запрос ценовых предложений;Закупка не состоялась
77;4661327-1;35758197-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Протаргол;Протаргол раствор для наружного применения 2% 200 мл;36;Флакон;2 883.00;103 788.00;2020-07-22 09:00:00;2020-07-24 18:00:00;Запрос ценовых предложений;Закупка не состоялась
78;4661327-1;30742885-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Вода;Вода для инъекций растворитель для приготовления лекарственных форм для инъекций 5 мл;13871;Ампула;55.00;762 905.00;2020-07-22 09:00:00;2020-07-24 18:00:00;Запрос ценовых предложений;Закупка не состоялась
79;4661327-1;35758121-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Формалин;Формалин раствор для наружного применения 10% 50 мл;42;Флакон;489.00;20 538.00;2020-07-22 09:00:00;2020-07-24 18:00:00;Запрос ценовых предложений;Отказ от лота
80;4661327-1;30742798-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Ацетилцистеин;Ацетилцистеин таблетки шипучие 600 мг;2280;Штука;154.30;351 804.00;2020-07-22 09:00:00;2020-07-24 18:00:00;Запрос ценовых предложений;Закупка не состоялась
81;4661327-1;30772402-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Этанол;Этанол раствор 70% 50 мл;6016;Флакон;85.00;511 360.00;2020-07-22 09:00:00;2020-07-24 18:00:00;Запрос ценовых предложений;Закупка не состоялась
82;4661327-1;30769618-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Тропикамид;Тропикамид капли глазные 1% 10 мл;50;Флакон;1 386.64;69 332.00;2020-07-22 09:00:00;2020-07-24 18:00:00;Запрос ценовых предложений;Закупка не состоялась
83;4661327-1;30769234-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Тиамин;Тиамин раствор для инъекций 5%, 1мл;2000;Ампула;32.00;64 000.00;2020-07-22 09:00:00;2020-07-24 18:00:00;Запрос ценовых предложений;Закупка не состоялась
84;4661327-1;35756786-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Транексамовая кислота;Транексамовая кислота раствор для инъекций 100 мг/мл 5мл;755;Ампула;995.00;751 225.00;2020-07-22 09:00:00;2020-07-24 18:00:00;Запрос ценовых предложений;Закупка не состоялась
85;4661327-1;35758165-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Формалин;Формалин раствор для наружного применения 10% 500 мл;67;Флакон;1 447.00;96 949.00;2020-07-22 09:00:00;2020-07-24 18:00:00;Запрос ценовых предложений;Закупка не состоялась
