№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
19;6935568-1;48280563-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги представительские;представительские услуги;1;Одна услуга;2 000 000.00;2 000 000.00;2022-02-18 19:25:12;2022-02-25 19:25:15;Запрос ценовых предложений;Закупка состоялась
20;6907737-1;48277064-ОИ3;;"ТОО ""Казстройсистема""";Товар;Автомобиль;приобретение специального автотранспорта для испытательной лаборатории;1;Штука;7 142 857.14;7 142 857.14;2022-02-15 20:14:15;2022-02-22 20:14:15;Из одного источника по несостоявшимся закупкам;Закупка состоялась
21;6895130-1;51064137-ЗЦП2;;"ТОО ""Казстройсистема""";Товар;Диспенсер;для воды, напольный, без холодильника;1;Штука;40 000.00;40 000.00;2022-02-16 09:05:54;2022-02-23 09:05:56;Запрос ценовых предложений;Закупка не состоялась
22;6886098-1;50242531-ОИ3;;"ТОО ""Казстройсистема""";Услуга;Услуги по обучению персонала/сотрудников;"обучение на тему ""Неразрушающий контроль прочности бетона""";1;Одна услуга;60 000.00;60 000.00;2022-02-14 12:27:36;2022-02-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
23;6886052-1;50250570-ОИ2;;"ТОО ""Казстройсистема""";Товар;Бумага для офисного оборудования;Бумага для офисного оборудования;5;Одна пачка;3 000.00;15 000.00;2022-02-14 12:27:14;2022-02-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
24;6885893-1;48270475-ОИ2;;"ТОО ""Казстройсистема""";Услуга;Услуги по предоставлению медицинского обслуживания персонала;Услуги по предоставлению медицинского обслуживания персонала в г. Алматы;1;Одна услуга;750 000.00;750 000.00;2022-02-14 12:19:35;2022-02-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
25;6885325-1;48280617-ОИ2;;"ТОО ""Казстройсистема""";Услуга;Услуги по предоставлению доступа к информационным ресурсам;Доступ к базе резюме;1;Одна услуга;1 560 000.00;1 560 000.00;2022-02-14 11:57:42;2022-02-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
26;6884799-1;51065338-ОИ2;;"ТОО ""Казстройсистема""";Услуга;Услуги по актуализации/обеспечению нормативной/справочной/технической информацией/документацией;"Обеспечение нормативно-техническими документами, документами по стандартизации испытательной лаборатории ТОО ""казстройсистема""";1;Одна услуга;446 428.58;446 428.58;2022-02-14 11:36:08;2022-02-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
27;6878254-1;48278471-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по доступу к Интернету;"услуги по доступу к интернету в административном зданий ""Дом министерств""";1;Одна услуга;3 736 442.00;3 736 442.00;2022-02-14 13:00:20;2022-02-22 18:00:00;Запрос ценовых предложений;Закупка состоялась
28;6878209-1;50262243-ЗЦП3;;"ТОО ""Казстройсистема""";Товар;Стеллаж;металлический, высота более 80 см;6;Штука;25 000.00;150 000.00;2022-02-14 12:45:58;2022-02-22 18:00:00;Запрос ценовых предложений;Закупка не состоялась
29;6869055-1;50229840-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по поверке средств измерений;услуги по проверке оборудование и приборов;1;Одна услуга;1 000 000.00;1 000 000.00;2022-02-14 11:30:57;2022-02-22 18:00:00;Запрос ценовых предложений;Закупка не состоялась
30;6863978-1;48952093-ЗЦП1;;"ТОО ""Казстройсистема""";Работа;Работы по разработке/корректировке/рассчету/составлению проектно-сметной документации;разработка проектно-сметной документации объекта «Реконструкция гаража (литер Б), расположенного по адресу: г.Нур-Султан, район Сарыарка, ул.Бейбітшілік, здание 61А» (наружные инжинерные сети);1;Работа;357 145.00;357 145.00;2022-02-11 18:53:06;2022-02-18 18:53:09;Запрос ценовых предложений;Закупка не состоялась
31;6805601-1;51064137-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Диспенсер;для воды, напольный, без холодильника;1;Штука;40 000.00;40 000.00;2022-02-07 12:34:46;2022-02-14 12:34:48;Запрос ценовых предложений;Закупка не состоялась
32;6805596-1;50242531-ЗЦП2;;"ТОО ""Казстройсистема""";Услуга;Услуги по обучению персонала/сотрудников;"обучение на тему ""Неразрушающий контроль прочности бетона""";1;Одна услуга;60 000.00;60 000.00;2022-02-07 12:20:58;2022-02-14 12:21:00;Запрос ценовых предложений;Закупка не состоялась
33;6805580-1;50250570-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Бумага для офисного оборудования;Бумага для офисного оборудования;5;Одна пачка;3 000.00;15 000.00;2022-02-07 12:18:09;2022-02-14 12:18:11;Запрос ценовых предложений;Закупка не состоялась
34;6805572-1;48270475-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по предоставлению медицинского обслуживания персонала;Услуги по предоставлению медицинского обслуживания персонала в г. Алматы;1;Одна услуга;750 000.00;750 000.00;2022-02-07 12:10:35;2022-02-14 12:10:38;Запрос ценовых предложений;Закупка не состоялась
35;6805544-1;51073477-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Регистр;папка регистратор, ширина корешка 50 мм.;30;Штука;700.00;21 000.00;2022-02-07 11:59:34;2022-02-14 11:59:36;Запрос ценовых предложений;Закупка состоялась
36;6805529-1;50257152-ЗЦП2;;"ТОО ""Казстройсистема""";Товар;Скрепка;28-32 мм;20;Одна пачка;50.00;1 000.00;2022-02-07 11:56:13;2022-02-14 11:56:15;Запрос ценовых предложений;Закупка не состоялась
37;6805529-1;50253177-ЗЦП2;;"ТОО ""Казстройсистема""";Товар;Клей;клей-карандаш, 36 гр.;20;Штука;220.00;4 400.00;2022-02-07 11:56:13;2022-02-14 11:56:15;Запрос ценовых предложений;Закупка не состоялась
38;6805499-1;48280617-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по предоставлению доступа к информационным ресурсам;Доступ к базе резюме;1;Одна услуга;1 560 000.00;1 560 000.00;2022-02-07 11:51:32;2022-02-14 11:51:37;Запрос ценовых предложений;Закупка не состоялась
39;6805482-1;51065667-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги учреждений санитарно-эпидемиологической службы;проведение исследований помещений испытательной лаборатории;1;Одна услуга;89 285.72;89 285.72;2022-02-07 11:37:22;2022-02-14 11:37:25;Запрос ценовых предложений;Закупка состоялась
40;6805460-1;51065338-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по актуализации/обеспечению нормативной/справочной/технической информацией/документацией;"Обеспечение нормативно-техническими документами, документами по стандартизации испытательной лаборатории ТОО ""казстройсистема""";1;Одна услуга;446 428.58;446 428.58;2022-02-07 11:31:33;2022-02-14 11:31:36;Запрос ценовых предложений;Закупка не состоялась
41;6805418-1;48277064-ОК2;;"ТОО ""Казстройсистема""";Товар;Автомобиль;приобретение специального автотранспорта для испытательной лаборатории;1;Штука;7 142 857.14;7 142 857.14;2022-02-07 09:00:00;2022-02-14 11:10:55;Открытый конкурс;Закупка не состоялась
42;6748129-1;50262243-ЗЦП2;;"ТОО ""Казстройсистема""";Товар;Стеллаж;металлический, высота более 80 см;6;Штука;25 000.00;150 000.00;2022-02-01 20:53:17;2022-02-08 20:53:19;Запрос ценовых предложений;Закупка не состоялась
43;6692369-1;50242773-ОИ2;;"ТОО ""Казстройсистема""";Услуга;Услуги по обучению персонала/сотрудников;"обучение на тему ""Аудит систем менеджмента в субъектах аккредитации""";1;Одна услуга;60 000.00;60 000.00;2022-01-25 21:48:05;2022-01-30 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
44;6692369-1;50242345-ОИ2;;"ТОО ""Казстройсистема""";Услуга;Услуги по обучению персонала/сотрудников;"обучение на тему ""Система управления рисками""";1;Одна услуга;60 000.00;60 000.00;2022-01-25 21:48:05;2022-01-30 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
45;6692238-1;50264014-ОИ2;;"ТОО ""Казстройсистема""";Товар;Линейка;измерительная, пластмассовая, длина 30 см;15;Штука;100.00;1 500.00;2022-01-25 21:03:05;2022-01-30 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
46;6659060-1;50226954-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по техническому контролю (осмотру) дорожных транспортных средств;Услуги по техническому контролю (осмотру) дорожных транспортных средств;1;Одна услуга;10 000.00;10 000.00;2022-01-24 13:47:05;2022-01-31 13:47:08;Запрос ценовых предложений;Закупка состоялась
47;6658183-1;50265584-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Фотобумага;двухсторонняя глянцевая фотобумага, формата А 3;1;Одна пачка;8 000.00;8 000.00;2022-01-24 12:42:57;2022-01-31 12:43:00;Запрос ценовых предложений;Закупка состоялась
48;6647716-1;48262041-ОИ2;;"ТОО ""Казстройсистема""";Услуга;Услуги по ускоренной/курьерской почтовой связи;услуги по ускоренной курьерской службы;1;Одна услуга;400 000.00;400 000.00;2022-01-20 19:13:41;2022-01-25 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
49;6646400-1;48280156-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Полуботинки;Полуботинки мужские, кожаные, металлический внутренний защитный носок;21;Пара;16 310.00;342 510.00;2022-01-21 18:12:57;2022-01-28 18:12:59;Запрос ценовых предложений;Закупка состоялась
50;6646065-1;48280218-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Сапоги;сапоги кожаные мужские, подкладка из натурального меха, ПУ/резина, композитный внутренний защитный носок;21;Пара;38 572.00;810 012.00;2022-01-21 18:03:20;2022-01-28 18:03:22;Запрос ценовых предложений;Закупка состоялась
51;6645896-1;48278691-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Брюки;брюки мужские для защиты от общих производственных загрязнений и механических воздействий;21;Штука;21 429.00;450 009.00;2022-01-21 17:44:29;2022-01-28 17:44:32;Запрос ценовых предложений;Закупка состоялась
52;6645708-1;48279124-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Костюм;КУРТКА мужская, для защиты от общих производственных загрязнений и механических воздействий, из ткани;21;Штука;32 620.00;685 020.00;2022-01-21 17:36:18;2022-01-28 17:36:20;Запрос ценовых предложений;Закупка состоялась
53;6645504-1;48278798-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Брюки;мужские, для защиты от пониженных температур, из ткани;21;Штука;22 620.00;475 020.00;2022-01-21 17:22:12;2022-01-28 20:00:00;Запрос ценовых предложений;Закупка состоялась
54;6644095-1;48279569-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Куртка;для защиты от пониженных температур;21;Штука;70 238.00;1 474 998.00;2022-01-21 17:00:57;2022-01-28 20:00:00;Запрос ценовых предложений;Закупка состоялась
55;6643470-1;50264971-ЗЦП1;;"ТОО ""Казстройсистема""";Работа;Работы по ремонту/модернизации компьютерной/периферийной оргтехники/оборудования;работы по ремонту офисной орг. техники;1;Работа;1 500 000.00;1 500 000.00;2022-01-21 16:33:57;2022-01-28 20:00:00;Запрос ценовых предложений;Закупка состоялась
56;6641807-1;48272244-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по оформлению;"консалтинговые услуги по подготовке к аккредитации испытательных/поверочных лаборатории в соответствии с требованиями ГОСТ ISO/IEC 17025-2019 ""Общие требования к компетентности испытательных и калибровочных лаборатории""";1;Одна услуга;1 800 000.00;1 800 000.00;2022-01-21 15:41:58;2022-01-28 15:42:00;Запрос ценовых предложений;Закупка состоялась
57;6627221-1;50235042-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Брошюровщик;переплетная машина;1;Штука;100 000.00;100 000.00;2022-01-20 12:24:49;2022-01-27 12:24:51;Запрос ценовых предложений;Закупка состоялась
58;6626513-1;50262243-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Стеллаж;металлический, высота более 80 см;6;Штука;25 000.00;150 000.00;2022-01-20 12:00:23;2022-01-27 12:00:25;Запрос ценовых предложений;Закупка не состоялась
59;6626203-1;50261781-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Доска;Магнитно-маркерная доска передвижная 90*120 см;1;Штука;35 000.00;35 000.00;2022-01-20 11:32:29;2022-01-27 11:32:31;Запрос ценовых предложений;Закупка состоялась
60;6618796-1;50242773-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по обучению персонала/сотрудников;"обучение на тему ""Аудит систем менеджмента в субъектах аккредитации""";1;Одна услуга;60 000.00;60 000.00;2022-01-18 21:40:24;2022-01-25 21:40:26;Запрос ценовых предложений;Закупка не состоялась
61;6618796-1;50241780-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по обучению персонала/сотрудников;"обучение на тему ""Выражение неопределенности результатов измерений""";1;Одна услуга;60 000.00;60 000.00;2022-01-18 21:40:24;2022-01-25 21:40:26;Запрос ценовых предложений;Закупка состоялась
62;6618796-1;50242345-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по обучению персонала/сотрудников;"обучение на тему ""Система управления рисками""";1;Одна услуга;60 000.00;60 000.00;2022-01-18 21:40:24;2022-01-25 21:40:26;Запрос ценовых предложений;Закупка не состоялась
63;6618796-1;50242531-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по обучению персонала/сотрудников;"обучение на тему ""Неразрушающий контроль прочности бетона""";1;Одна услуга;60 000.00;60 000.00;2022-01-18 21:40:24;2022-01-25 21:40:26;Запрос ценовых предложений;Закупка не состоялась
64;6618796-1;50241307-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по обучению персонала/сотрудников;"обучение СТ РК ISO/IEC 17025-2019 ""Общие требования к компетентности испытательных и калибровочных лабораторий""";1;Одна услуга;1 800 000.00;1 800 000.00;2022-01-18 21:40:24;2022-01-25 21:40:26;Запрос ценовых предложений;Закупка состоялась
65;6618646-1;50257152-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Скрепка;28-32 мм;20;Одна пачка;50.00;1 000.00;2022-01-18 20:56:01;2022-01-25 20:56:04;Запрос ценовых предложений;Закупка не состоялась
66;6618646-1;50263335-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Бумага;бумага для заметок с клеевым краем 75*75;15;Одна пачка;900.00;13 500.00;2022-01-18 20:56:01;2022-01-25 20:56:04;Запрос ценовых предложений;Закупка состоялась
67;6618646-1;50264014-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Линейка;измерительная, пластмассовая, длина 30 см;15;Штука;100.00;1 500.00;2022-01-18 20:56:01;2022-01-25 20:56:04;Запрос ценовых предложений;Закупка не состоялась
68;6618646-1;50255470-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Файл - вкладыш;формата А 4, повышенной плотностью;3;Упаковка;2 000.00;6 000.00;2022-01-18 20:56:01;2022-01-25 20:56:04;Запрос ценовых предложений;Закупка состоялась
69;6618646-1;50257625-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Стикер;пластиковый, для заметок;20;Упаковка;200.00;4 000.00;2022-01-18 20:56:01;2022-01-25 20:56:04;Запрос ценовых предложений;Закупка состоялась
70;6618646-1;50254842-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Штрих-корректор;карандаш;30;Штука;220.00;6 600.00;2022-01-18 20:56:01;2022-01-25 20:56:04;Запрос ценовых предложений;Закупка состоялась
71;6618646-1;50252227-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Карандаш;с твердым грифелем;5;Одна пачка;400.00;2 000.00;2022-01-18 20:56:01;2022-01-25 20:56:04;Запрос ценовых предложений;Закупка состоялась
72;6618646-1;50254370-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Конверт;конверт белый, почтовый, формата А 4;100;Штука;90.00;9 000.00;2022-01-18 20:56:01;2022-01-25 20:56:04;Запрос ценовых предложений;Закупка состоялась
73;6618646-1;50253177-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Клей;клей-карандаш, 36 гр.;20;Штука;220.00;4 400.00;2022-01-18 20:56:01;2022-01-25 20:56:04;Запрос ценовых предложений;Закупка не состоялась
74;6618588-1;50259397-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Диск колеса;диски литые на NISSAN TEANA 2014 г.в.;4;Штука;60 000.00;240 000.00;2022-01-18 20:01:06;2022-01-25 20:01:09;Запрос ценовых предложений;Закупка состоялась
75;6582686-1;48258168-ОК1;;"ТОО ""Казстройсистема""";Работа;Работы по реконструкции нежилых зданий/сооружений/помещений;"Строительно-монтажные работы ""Реконструкция гаража под испытательную лабораторию"" расположенного по адресу: г. Нур-Султан, р-н ""Сарыарка"", ул. бейбитшилик, зд. 61 А";1;Работа;106 964 330.40;106 964 330.40;2022-02-14 19:19:45;2022-02-17 19:19:45;Открытый конкурс;Закупка состоялась
76;6567380-1;48277064-ОК1;;"ТОО ""Казстройсистема""";Товар;Автомобиль;приобретение специального автотранспорта для испытательной лаборатории;1;Штука;7 142 857.14;7 142 857.14;2022-01-20 16:23:34;2022-02-04 01:53:34;Открытый конкурс;Закупка не состоялась
77;6565228-1;48280238-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Каска;защитная каска из высокопрочной пластмассы с нанесением логотипа Заказчика;28;Штука;8 000.00;224 000.00;2021-12-31 10:50:23;2022-01-19 18:30:00;Запрос ценовых предложений;Закупка состоялась
78;6565066-1;48280298-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Кресло;кресло для руководителя;1;Штука;120 000.00;120 000.00;2021-12-31 10:15:41;2022-01-19 18:30:00;Запрос ценовых предложений;Закупка состоялась
79;6565045-1;48280316-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Кресло;кресло для сотрудников;29;Штука;70 000.00;2 030 000.00;2021-12-31 10:05:33;2022-01-19 18:30:00;Запрос ценовых предложений;Закупка состоялась
80;6563004-1;48280581-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги полиграфические по изготовлению/печатанию полиграфической продукции (кроме книг, фото, периодических изданий);полиграфические услуги;1;Одна услуга;1 000 000.00;1 000 000.00;2021-12-30 12:31:33;2022-01-19 18:30:00;Запрос ценовых предложений;Закупка состоялась
81;6562839-1;48262041-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по ускоренной/курьерской почтовой связи;услуги по ускоренной курьерской службы;1;Одна услуга;400 000.00;400 000.00;2021-12-30 12:06:18;2022-01-19 18:30:00;Запрос ценовых предложений;Закупка не состоялась
82;6562503-1;48278448-ЗЦП1;;"ТОО ""Казстройсистема""";Услуга;Услуги по мойке автотранспорта/спецтехники;услуги по мойке служебных авто;1;Одна услуга;600 000.00;600 000.00;2021-12-30 11:39:00;2022-01-19 18:30:00;Запрос ценовых предложений;Закупка состоялась
83;6562344-1;48277823-ЗЦП1;;"ТОО ""Казстройсистема""";Работа;Работы по ремонту автотранспортных средств;ремонт и обслуживание служебных автотранспортных средств;1;Работа;1 800 000.00;1 800 000.00;2021-12-30 11:07:06;2022-01-19 18:30:00;Запрос ценовых предложений;Закупка состоялась
84;6525605-1;46568523-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Привод оптический;Внешний привод CD/DVD, USB Чёрный;1;Штука;17 000.00;17 000.00;2021-12-06 19:49:29;2021-12-13 19:49:31;Запрос ценовых предложений;Закупка состоялась
85;6525590-1;44544655-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Молоток;Молоток Кашарова;1;Штука;62 500.00;62 500.00;2021-12-06 19:39:40;2021-12-13 19:39:42;Запрос ценовых предложений;Закупка состоялась
86;6525583-1;46970893-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Набор столовых приборов;набор столовых приборов из стали на 12 персон;1;Комплект;70 000.00;70 000.00;2021-12-06 19:34:09;2021-12-13 19:34:12;Запрос ценовых предложений;Закупка состоялась
87;6525561-1;46970069-ЗЦП1;;"ТОО ""Казстройсистема""";Работа;Работы по изготовлению печатных форм/печатей/трафаретов;работы по изготовлению круглых штампов с соответствующими надписями по середине и краям окружности;1;Работа;147 857.14;147 857.14;2021-12-06 19:24:22;2021-12-13 19:24:25;Запрос ценовых предложений;Закупка состоялась
88;6525549-1;46970937-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Увлажнитель воздуха;ионизатор-увлажнитель-очистетль воздуха 3 в1;1;Штука;357 142.85;357 142.85;2021-12-06 19:10:11;2021-12-13 19:10:14;Запрос ценовых предложений;Закупка состоялась
89;6525479-1;44638438-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Оборудование учебно-лабораторное;ДЕФЕКТОСКОП ОБЩЕГО НАЗНАЧЕНИЯ УД3-103ВД PELENG;1;Штука;2 562 857.00;2 562 857.00;2021-12-06 18:35:14;2021-12-13 18:35:17;Запрос ценовых предложений;Закупка состоялась
90;6525434-1;46970479-ЗЦП1;;"ТОО ""Казстройсистема""";Товар;Фотобумага;двухсторонняя глянцевая фотобумага, формата А 4;5;Штука;1 428.57;7 142.85;2021-12-06 18:29:14;2021-12-13 18:29:17;Запрос ценовых предложений;Закупка состоялась
