№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
19;7113811-1;18704856-ОЛ-ОИ2;51506228;"АО ""ЛОК ""Ок-Жетпес""";Товар;Черешня;Черешня ОТБОРНАЯ, ГОСТ 33801-2016 ,крупная,спелая,свежая, сочная,с веточками,без гнили и повреждений насекомыми, сладкая. Упакованная в ячейковые прокладные картонные листы в ящики в 1-2 слоя.ВНИМАНИЕ!!! При приемке на продуктовом складе скоропортящихся овощей и фруктов а именно : огурцы,помидоры перец болгарский ,кабачки,баклажаны,груши,яблоки,слива,черешня,персик,абрикос,банан,мандарин,апельсины,салат,зелень и др., производится переборка и отбраковывание принимаемых фруктов и овощей, представителем поставщика в присутствии кладовщика прод.склада. ЕЖЕДНЕВНАЯ поставка малыми партиями;700;Килограмм;1 741.07;1 218 749.00;2022-03-11 09:36:58;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
20;7113811-1;18704856-ОЛ-ОИ2;51507147;"АО ""ЛОК ""Ок-Жетпес""";Товар;Яблоко позднее;ГОСТ 11482-96 Рыба эсколар копченая высшего сорта, без наружных повреждений и кровоподтеков,пластованная,холодного копчения,слабосоленая до 7%.С чистой,сухой поверхностью от белого до молочного цвета,консистенция мышечной ткани от нежной и сочной до плотной,вкус и запах копчености,без порочащих признаков,содержание.Упаковыванная в картонные ящики устланные внутри пергаментом или оберточной бумагой,в торцовых стенках ящика отверстия для циркуляции воздуха.ОБЯЗАТЕЛЬНЫ СРОКИ ИЗГОТОВЛЕНИЯ. Поставка малыми партиями 3 раза в неделю.;1000;Килограмм;544.64;544 640.00;2022-03-11 09:36:58;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
21;7113811-1;18704856-ОЛ-ОИ2;51499078;"АО ""ЛОК ""Ок-Жетпес""";Товар;Картофель;ГОСТ 7176-2017. Картофель ОТБОРНЫЙ. корнеплоды ровные,без гнили,с малым количеством глазков,диаметр не менее 8 см,сухой без примеси земли ,без повреждений насекомыми,без механических повреждений,на срезе долго не темнеющая,вкусная,с хорошей лежкостью,столовые или унивесальные сорта . Расфасованный в сетчатые мешки по 30-40 кг Поставка ЕЖЕДНЕВНАЯ малыми партиями;6377;Килограмм;241.07;1 537 303.39;2022-03-11 09:36:58;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
22;7113811-1;18704856-ОЛ-ОИ2;51506269;"АО ""ЛОК ""Ок-Жетпес""";Товар;Чеснок;СТ РК 1245-2004 Чеснок ОТБОРНЫЙ,чистый,сухой,без проростков и корешков,производство Казахстан,предпочтительны сорта ЮБИЛЕЙНЫЙ,СТАРОБЕЛЬСКИЙ. Упакованный в маленькие транспортировочные сетки по 1-2 кг .ЕЖЕДНЕВНАЯ поставка малыми партиями;126;Килограмм;1 303.57;164 249.82;2022-03-11 09:36:58;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
23;7113811-1;18704856-ОЛ-ОИ2;51502732;"АО ""ЛОК ""Ок-Жетпес""";Товар;Морковь;ОТБОРНАЯ морковь ГОСТ 32284-2013 чистая,без земляных примесей, крупная столовых сортов,без гнили,без ботвы,яркого оранжевого цвета,гладкая некорявая. Размер по наибольшему срезу не менее 3 см и не более 7 см,НЕ ДОПУСТИМЫ корнеплоды треснутые с открытой сердцевиной,увядшие, подмороженые,с механическими повреждениями и повреждениями насекомыми и грызунами.ЕЖЕДНЕВНАЯ поставка малыми партиями;2260;Килограмм;339.29;766 795.40;2022-03-11 09:36:58;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
24;7113811-1;18704856-ОЛ-ОИ2;51506147;"АО ""ЛОК ""Ок-Жетпес""";Товар;Тыква;ТЫКВА ОТБОРНАЯ ГОСТ 7975-2013.столовые сорта,свежая, сочная,без гнили,на вкус сладкая. Мякоть на срезе яркого оранжевого цвета. НЕ ДОПУСКАЮТСЯ повреждения гнилью,механические,грызунами,болезнями,насекомыми.ЕЖЕДНЕВНАЯ поставка малыми партиями.;250;Килограмм;642.86;160 715.00;2022-03-11 09:36:58;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
25;7113811-1;18704856-ОЛ-ОИ2;51503327;"АО ""ЛОК ""Ок-Жетпес""";Товар;Помидор;ПОМИДОРЫ ТЕПЛИЧНЫЕ ОТБОРНЫЕ СТ РК ГОСТ 51810-2004 однородного созревания,спелые,без желтых прожилок на срезе,одного колибра,не кислые сорта,без повреждений насекомыми и механических повреждений,НЕ ДОПУСТИМЫ гнилые,заплесневелые,раздавленные плодыВНИМАНИЕ!!! При приемке на продуктовом складе скоропортящихся овощей и фруктов а именно : огурцы,помидоры перец болгарский ,кабачки,баклажаны,груши,яблоки,слива,персик,абрикос,банан,мандарин,апельсины,салат,зелень и др., производится переборка и отбраковывание принимаемых фруктов и овощей, представителем поставщика в присутствии кладовщика прод.склада. Поставка ЕЖЕДНЕВНАЯ малыми партиями;2070;Килограмм;879.46;1 820 482.20;2022-03-11 09:36:58;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
26;7113811-1;18704856-ОЛ-ОИ2;51502259;"АО ""ЛОК ""Ок-Жетпес""";Товар;Салат;Листья салата ОТБОРНЫЕ, гост 33985-2016 свежие листья, сочные, ярко-зеленого цвета,с усеченными кореньями или в рассадочных стаканах,каждый пучок упакованный в товарный целофановый кулек ,листья не увядшие,предпочтительны сорта РОМЕН,ЛОЛЛО РОССО,ЛОЛЛО БИОНДО,ДУБОВЫЙ,ФРИЗИ. ВНИМАНИЕ!!! При приемке на продуктовом складе скоропортящихся овощей и фруктов а именно : огурцы,помидоры перец болгарский ,кабачки,баклажаны,груши,яблоки,слива,персик,абрикос,банан,мандарин,апельсины,салат,зелень и др., производится переборка и отбраковывание принимаемых фруктов и овощей, представителем поставщика в присутствии кладовщика прод.склада. ЕЖЕДНЕВНАЯ поставка малыми партиями;266;Килограмм;1 473.21;391 873.86;2022-03-11 09:36:58;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
27;7113811-1;18704856-ОЛ-ОИ2;51502437;"АО ""ЛОК ""Ок-Жетпес""";Товар;Лук-порей;Лук зеленый ОТБОРНЫЙ гост 34214-2017 свежий, сочный, темно-зеленого цвета,без корней,луковичка без земли,без признаков самосогревания и подмораживания,без наличия стрелок.ВНИМАНИЕ!!! При приемке на продуктовом складе скоропортящихся овощей и фруктов а именно : огурцы,помидоры перец болгарский ,кабачки,баклажаны,груши,яблоки,слива,персик,абрикос,банан,мандарин,апельсины,салат,зелень и др., производится переборка и отбраковывание принимаемых фруктов и овощей, представителем поставщика в присутствии кладовщика прод.склада.ЕЖЕДНЕВНАЯ поставка малыми партиями;28;Килограмм;1 428.57;39 999.96;2022-03-11 09:36:58;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
28;7113811-1;18704856-ОЛ-ОИ2;51503241;"АО ""ЛОК ""Ок-Жетпес""";Товар;Петрушка;Петрушка ОТБОРНАЯ ГОСТ 34212-2017 .Зелень свежая, сочная, темно-зеленого цвета,пучки без кореньев или в рассадочных стаканах,каждый пучок упакованный в товарный целофановый кулек ,без желтых листочков,без повреждений насекомыми и гнили,без следов самосогревания и подморозки.ВНИМАНИЕ!!! При приемке на продуктовом складе скоропортящихся овощей и фруктов а именно : огурцы,помидоры перец болгарский ,кабачки,баклажаны,груши,яблоки,слива,персик,абрикос,банан,мандарин,апельсины,салат,зелень и др., производится переборка и отбраковывание принимаемых фруктов и овощей, представителем поставщика в присутствии кладовщика прод.склада. Поставка ЕЖЕДНЕВНАЯ малыми партиями;190;Килограмм;1 651.79;313 840.10;2022-03-11 09:36:58;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
29;7113811-1;18704856-ОЛ-ОИ2;51506177;"АО ""ЛОК ""Ок-Жетпес""";Товар;Укроп;Зелень укропа ГОСТ 32856-2014. свежая, сочная, темно-зеленого цвета,пучки без кореньев или в рассадочных стаканах,каждый пучок упакованный в товарный целофановый кулек ,без желтых листочков,без повреждений насекомыми и гнили,без следов самосогревания и подморозки.ВНИМАНИЕ!!! При приемке на продуктовом складе скоропортящихся овощей и фруктов а именно : огурцы,помидоры перец болгарский ,кабачки,баклажаны,груши,яблоки,слива,персик,абрикос,банан,мандарин,апельсины,салат,зелень и др., производится переборка и отбраковывание принимаемых фруктов и овощей, представителем поставщика в присутствии кладовщика прод.склада. Поставка ежедневная малыми партиями;200;Килограмм;1 651.79;330 358.00;2022-03-11 09:36:58;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
30;7113811-1;18704856-ОЛ-ОИ2;51504083;"АО ""ЛОК ""Ок-Жетпес""";Товар;Свекла;ГОСТ 32285-2013 .Свекла диаметром не более 15 см,столовые сорта,сладкая,без белых прожилок на срезе,яркого бордового цвета.без ботвы и земли,без механических повреждений и повреждений насекомыми,НЕ допустимы парша,гниль,плоды менее 8 см в поперечном срезе,увядшие,морщинистые.ЕЖЕДНЕВНАЯ поставка малыми партиями;855;Килограмм;366.07;312 989.85;2022-03-11 09:36:58;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
31;7113811-1;18704856-ОЛ-ОИ2;51507058;"АО ""ЛОК ""Ок-Жетпес""";Товар;Лист щавеля;Щавель свежий. ГОСТ 34301-2017 Зелень молодая свежая сочная,темнозеленого цвета ,без корня и рассадочного горшка. Без повреждения насекомыми и мехнических повреждений,без семенных стеблей .ЕЖЕДНЕВНАЯ поставка малыми партиями;80;Килограмм;1 116.07;89 285.60;2022-03-11 09:36:58;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
32;7112992-1;48050833-ОИ3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Ананас;ГОСТ 33443-2015.Ананасы консервированные кольцами или кусочками .ж/б 850 мл,массой нетто 820 гр,в слабо сладком сиропе,без консервантов,банки не поврежденные,без бомбажа. В/С ,поставка малыми партиями 3 раза в неделю;203.93;Килограмм;1 941.96;396 023.90;2022-03-11 10:23:47;2022-03-16 10:23:47;Из одного источника по несостоявшимся закупкам;Закупка состоялась
33;7112992-1;51480915-ОИ3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Чечевица;ГОСТ 7066-77. Чечевица крупа, зерна целые,имеют форму двояковыпуклой линзы,цвет оранжевый,зелный или бурый.ЗАПАХ у крупы должен быть нормальный,свойственный данному виду крупы,без плесневелого,затхлого и постороннего запаха.ВЛАЖНОСТЬ не более 12-17 %.Крупа должна быть чистой,без амбарных вредителей !!!ВНИМАНИЕ ЕЖЕДНЕВНАЯ ПОСТАВКА малыми партиями по заявке !!!;53;Килограмм;1 348.21;71 455.13;2022-03-11 10:23:47;2022-03-16 10:23:47;Из одного источника по несостоявшимся закупкам;Закупка состоялась
34;7112992-1;51480389-ОИ3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Чернослив;Сухофрукт чернослив калифорнийский!!!ВНИМАНИЕ ЕЖЕДНЕВНАЯ ПОСТАВКА малыми партиями по заявке !!!;83;Килограмм;3 553.57;294 946.31;2022-03-11 10:23:47;2022-03-16 10:23:47;Из одного источника по несостоявшимся закупкам;Закупка состоялась
35;7112992-1;51479038-ОИ3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Халва;ГОСТ 6502-2014. Халва подсолнечная фасованная в брикеты по 0,275-0,325 кг !!!ВНИМАНИЕ ЕЖЕДНЕВНАЯ ПОСТАВКА малыми партиями по заявке !!!;486.75;Килограмм;1 102.68;536 729.49;2022-03-11 10:23:47;2022-03-16 10:23:47;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
36;7112992-1;51478444-ОИ3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Фасоль;ГОСТ 7758-75 .Фасоль крупа карсная фасовка по 0,7 кг!!!ВНИМАНИЕ ЕЖЕДНЕВНАЯ ПОСТАВКА малыми партиями по заявке !!!;26.6;Килограмм;1 339.29;35 625.11;2022-03-11 10:23:47;2022-03-16 10:23:47;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
37;7112992-1;51474882-ОИ3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Разрыхлитель;ГОСТ 32802-2014. Разрыхлитель для изделий из не дрожжевого теста,пачки по10 гр¶!!!ВНИМАНИЕ ЕЖЕДНЕВНАЯ ПОСТАВКА малыми партиями по заявке !!!;14.5;Килограмм;4 000.00;58 000.00;2022-03-11 10:23:47;2022-03-16 10:23:47;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
38;7112992-1;51467097-ОИ3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Абрикос;ГОСТ 32896-2014 . Курага импортная сухофрукты,без косточки,одного размера ,темно-оранжевого цвета,не покрытая маслом ,без прогорклого и затхлого запаха,умеренно сухая,не твердая,без плесени,без насекомых,сладкая,крупная. Содержание влаги не должно превышать 21 %.Соблюдение!!!ВНИМАНИЕ ЕЖЕДНЕВНАЯ ПОСТАВКА малыми партиями по заявке !!!;317;Килограмм;3 142.86;996 286.62;2022-03-11 10:23:47;2022-03-16 10:23:47;Из одного источника по несостоявшимся закупкам;Закупка состоялась
39;7112992-1;51467010-ОИ3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Крупа ячневая;ГОСТ 5784-60 Крупа яневая №1,№2,состоит из многогранных частиц (0,5-2,5 мм) нерпавильной формы,с острыми гранями,цвет желтовато-сероватый,крупного помола.ВКУС свежий,доброкачественный,слегка сладковатыйюЗАПАХ у крупы должен быть нормальный,свойственный данному виду к!!!ВНИМАНИЕ ЕЖЕДНЕВНАЯ ПОСТАВКА малыми партиями по заявке !!!;347.4;Килограмм;334.82;116 316.47;2022-03-11 10:23:47;2022-03-16 10:23:47;Из одного источника по несостоявшимся закупкам;Закупка состоялась
40;7112992-1;51466974-ОИ3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Крупа пшеничная;ГОСТ 276-60виды : ПОЛТАВСКАЯ №3 (мелкие крупинки шаровидной формы) или АРТЕК (крупинки мелкие 0,5-1,5 мм). чистая,дробленная,хорошо отшлифованная,цвет желтовато-сероватый,мелкого помола.ВКУС свежий,доброкачественный,слегка сладковатый.ЗАПАХ у крупы должен быть нор!!!ВНИМАНИЕ ЕЖЕДНЕВНАЯ ПОСТАВКА малыми партиями по заявке !!!;379.2;Килограмм;343.75;130 350.00;2022-03-11 10:23:47;2022-03-16 10:23:47;Из одного источника по несостоявшимся закупкам;Закупка состоялась
41;7112992-1;51466945-ОИ3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Крупа перловая;ГОСТ 5784 -60 Крупа № 1 или № 2.Шлифованная,цвета белого или с желтоватым оттенком,крупинки овальной или округлой правильной формы.ВКУС свежий,доброкачественный,слегка сладковатый.ЗАПАХ у крупы должен быть нормальный,свойственный данному виду крупы,без плесневелого,за!!!ВНИМАНИЕ ЕЖЕДНЕВНАЯ ПОСТАВКА малыми партиями по заявке !!!;236.8;Килограмм;316.96;75 056.13;2022-03-11 10:23:47;2022-03-16 10:23:47;Из одного источника по несостоявшимся закупкам;Закупка состоялась
42;7112992-1;51460090-ОИ3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Крупа овсяная;ГОСТ 21149-93. Крупа овсяная хлопья ЛЕПЕСТКОВЫЕ овсяные, получают из недробленной пропаренной шлифованной овсяной крупы высшего сорта.ВКУС свежий,доброкачественный,слегка сладковатый.ЗАПАХ у крупы должен быть нормальный,свойственный данному виду крупы,без плесневелого,затхлого и пос!!!ВНИМАНИЕ ЕЖЕДНЕВНАЯ ПОСТАВКА малыми партиями по заявке !!!;702.4;Килограмм;491.07;344 927.57;2022-03-11 10:23:47;2022-03-16 10:23:47;Из одного источника по несостоявшимся закупкам;Закупка состоялась
43;7112992-1;51459978-ОИ3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Крупа манная;"ГОСТ 7022-97 .мелкозернистая,марка ""М""(из мягкой стекловидной и полустекловидной пшеницы.),ЦВЕТ крупы марки ""М"" имеет крупинки белого цвета,непрозрачные,покрытые мучелью ЗАПАХ у крупы должен быть нормальный,свойственный данному виду крупы,без плесневелого,затхлого и постороннего запаха.ВЛАЖНОСТЬ не более 12-17 %.Крупа должна быть чистой, без амбарных вредителей,без посторонних примесей в виде испорченных и битых ядер,недодира,сорной примеси.Пищевая ценность жиры 1 гр ,белки 10,3 гр, углеводы 67,5 гр, каллорийность 326 ккал.НАЛИЧИЕ ДОБРОВОЛЬНОЙ СЕРТИФИКАЦИИ .расфасовка полиэтиленовые пакеты по 3-5 кг в картонных коробках . ЕЖЕДНЕВНАЯ поставка малыми партиями";345.1;Килограмм;437.50;150 981.25;2022-03-11 10:23:47;2022-03-16 10:23:47;Из одного источника по несостоявшимся закупкам;Закупка состоялась
44;7112992-1;51459834-ОИ3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Крупа гречневая;ГОСТ 5550-74 Крупа гречневая, ядрица, быстроразваривающаяся,1 сорт .ЦВЕТ коричневый с различными оттенками.ВКУС свежий,доброкачественный,слегка сладковатый.ЗАПАХ у крупы должен быть нормальный,свойственный данному виду крупы,без плесневелого,затхлого и постороннего запаха.ВЛАЖНОСТЬ не более 12-17 %.Крупа должна быть чистой, без амбарных вредителей,без посторонних примесей в виде мучели,испорченных и битых ядер,недодира,сорной примеси,необрушенных и нешелушеных зерен.НАЛИЧИЕ ДОБРОВОЛЬНОЙ СЕРТИФИКАЦИИ .Расфасовка - полиэтиленовые пакеты по 3-10 кг уложеные в картонные коробки . ЕЖЕДНЕВНАЯ поставка малыми партиями;977;Килограмм;562.50;549 562.50;2022-03-11 10:23:47;2022-03-16 10:23:47;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
45;7112992-1;51459561-ОИ3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Крупа гороховая;ГОСТ 6201-68 крупа гороховая Горох колотый,шелушеный,полированный,ЦВЕТ желтый с гладкой поверхностью и закругленными ребрами отдельных семядолей.ВКУС свежий,доброкачественный,слегка сладковатый.ЗАПАХ у крупы должен быть нормальный,свойственный данному виду крупы,без п!!!ВНИМАНИЕ ЕЖЕДНЕВНАЯ ПОСТАВКА малыми партиями по заявке !!!;281.6;Килограмм;366.07;103 085.31;2022-03-11 10:23:47;2022-03-16 10:23:47;Из одного источника по несостоявшимся закупкам;Закупка состоялась
46;7112992-1;51456746-ОИ3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Конфета;ГОСТ Р 55982-2014 Конфета с вафельной прослойкой состав:сахар,арахис жареный,какао тертое,какао масло,мука пшеничная,эмульгаторы лецитин Е322,Е476,порошок яичный,жир кондитерский,крахмал,ароматизатор ванильный,соль,разрыхлитель Е500,ванилин. без добавления сои ИЛИ с желейно- молочносгущенной начинкой.Состав:патока,шоколадная глазурь(сахар,эквивалент какао-масла,какао-порошок,какао тертое,эмульгатор:лецитин Е322,идентичный натуральному ароматизатор :ванилин),сахар,молоко сгущеное цельное,жир растительный,влагоудерживающий агент:сорбитол Е 420,желеобразователь:пектин Е440,эмульгатор:моноглицириды Е471,соль пищевая,пищевой краситель:диоксид титана Е171,ароматизатор идентичный натуральному -Карамкль В 100 гр :белок 1,7 жир-11,6 углеводы 62,9.Энергетическая ценность 100 гр 351 ккал. ИЛИ с шоколадной начинкой состав:сахар,орех кешью тертый,какао тертое,какао масло,мука пшеничная,патока,эмульгаторы лецитин Е322,Е476,жир кондитерский,крахмал,ароматизатор ванильный,соль,разрыхлитель Е500,ванилин. Энергетич ценность529 ккал Поставка малыми партиями 3 раза в неделю.;595;Килограмм;2 857.14;1 699 998.30;2022-03-11 10:23:47;2022-03-16 10:23:47;Из одного источника по несостоявшимся закупкам;Закупка состоялась
47;7112992-1;51452199-ОИ3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Капуста;ГОСТ 31412-2010 Капуста морская сушеная ,без насекомых,мусорных примесей,песка,фасовка мелкая по 20,50-100 граммов ,прессованная в брикетах,в картонных коробках.!!!ВНИМАНИЕ ЕЖЕДНЕВНАЯ ПОСТАВКА малыми партиями по заявке !!!;37;Килограмм;2 464.29;91 178.73;2022-03-11 10:23:47;2022-03-16 10:23:47;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
