№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
10;7021756-1;45529247-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Линейка;Линейка пластиковая, 30 см, черного цвета;10;Штука;129.46;1 294.60;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
11;7021756-1;45528870-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Пружина;Пружина для переплета, пластиковая, диаметр 35 мм;10;Штука;109.82;1 098.20;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
12;7021756-1;45528778-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Пружина;Пружина для переплета, пластиковая, диаметр 6 мм;20;Штука;14.29;285.80;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
13;7021756-1;45529272-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Скотч;Скотч 48*100 мм;60;Штука;303.57;18 214.20;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
14;7021756-1;45529569-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Скоросшиватель;Скоросшиватель картонный;500;Штука;44.64;22 320.00;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
15;7021756-1;45529594-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Скоросшиватель;Скоросшиватель на завязках;10;Штука;58.04;580.40;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
16;7021756-1;45529480-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Пленка;Пленка для ламинирования, формат А4;100;Штука;43.75;4 375.00;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
17;7021756-1;45529166-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Конверт;Конверт А4;350;Штука;32.14;11 249.00;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
18;7021756-1;45528620-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Бумага для офисного оборудования;Бумага формата А4, плотность 80 г/м², белая, 500 листов;925;Одна пачка;1 325.89;1 226 448.25;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
19;7021756-1;45529383-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Обложка;Обложка для переплета, формат А4, прозрачная;100;Штука;40.18;4 018.00;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
20;7021756-1;45528815-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Пружина;Пружина для переплета, пластиковая, диаметр 15 мм;10;Штука;24.11;241.10;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
21;7021756-1;45530380-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Лоток;Лоток канцелярский, пластмассовый (вертикальный);10;Штука;656.25;6 562.50;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
22;7021756-1;45530374-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Лоток;Лоток канцелярский, пластмассовый (горизонтальный);10;Штука;647.32;6 473.20;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
23;7021756-1;45528643-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Бумага для офисного оборудования;Бумага формата А4, плотность 80 г/м², желтая, 500 листов;3;Одна пачка;2 566.96;7 700.88;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
24;7021756-1;45528858-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Пружина;Пружина для переплета, пластиковая, диаметр 20 мм;10;Штука;56.25;562.50;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
25;7021756-1;45530243-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Разделитель;Разделитель индексный бумажный, формат А4, в упаковке 31 штука;10;Упаковка;459.82;4 598.20;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
26;7021756-1;45528686-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Бумага для офисного оборудования;Бумага формата А4, плотность 160 г/м², белая, 250 листов;2;Одна пачка;3 473.21;6 946.42;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
27;7021756-1;45530261-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Степлер;Степлер 24/6;15;Штука;535.71;8 035.65;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
28;7021756-1;45529642-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Ручка канцелярская;Ручка шариковая, черная, 0,7 мм;15;Штука;58.04;870.60;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
29;7021756-1;45528793-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Пружина;Пружина для переплета, пластиковая, диаметр 10 мм;20;Штука;20.54;410.80;2022-03-02 15:00:39;2022-03-10 15:00:46;Запрос ценовых предложений;Закупка не состоялась
30;7019411-1;45529358-ОИ2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Ножницы;Ножницы канцелярские, 18 см;15;Штука;297.32;4 459.80;2022-02-28 14:07:53;2022-03-05 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
31;7019411-1;45530333-ОИ2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Тетрадь;Тетрадь общая, 96 листов, клетка;10;Штука;236.61;2 366.10;2022-02-28 14:07:53;2022-03-05 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
32;7019411-1;45529418-ОИ2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Органайзер;Настольный органайзер, 13 предметов;5;Набор;1 745.54;8 727.70;2022-02-28 14:07:53;2022-03-05 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
33;7019411-1;45528898-ОИ2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Дырокол;Дырокол канцелярский, механический, с планкой, на 30 листов;5;Штука;1 087.50;5 437.50;2022-02-28 14:07:53;2022-03-05 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
34;7019410-1;45529057-ОИ2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Калькулятор;Калькулятор настольный , 12 разрядов, 205*159*27 мм;5;Штука;2 232.14;11 160.70;2022-02-28 14:07:10;2022-03-10 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
35;7019410-1;45529549-ОИ2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Скоросшиватель;Скоросшиватель пластиковый А4;20;Штука;100.89;2 017.80;2022-02-28 14:07:10;2022-03-10 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
36;7019410-1;45529340-ОИ2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Нож;Нож канцелярский 18 мм с фиксатором;15;Штука;107.14;1 607.10;2022-02-28 14:07:10;2022-03-10 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
37;6960732-1;48437410-ОИ3;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Услуга;Услуги по вывозу (сбору) неопасных отходов/имущества/материалов;Услуги по вывозу твердо-бытовых отходов;1;Одна услуга;247 321.43;247 321.43;2022-02-22 09:44:54;2022-02-27 09:44:54;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
38;6960482-1;45543987-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Работа;Работы по ремонту/модернизации компьютерной/периферийной оргтехники/оборудования;Работы по техническому обслуживанию и ремонту компьютерной и организационной техники;1;Работа;357 767.86;357 767.86;2022-02-22 10:00:49;2022-03-01 10:01:02;Запрос ценовых предложений;Закупка не состоялась
39;6956603-1;45529480-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Пленка;Пленка для ламинирования, формат А4;100;Штука;43.75;4 375.00;2022-02-22 09:00:02;2022-03-01 09:00:05;Запрос ценовых предложений;Закупка не состоялась
40;6956603-1;45529569-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Скоросшиватель;Скоросшиватель картонный;500;Штука;44.64;22 320.00;2022-02-22 09:00:02;2022-03-01 09:00:05;Запрос ценовых предложений;Закупка не состоялась
41;6956603-1;45529166-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Конверт;Конверт А4;350;Штука;32.14;11 249.00;2022-02-22 09:00:02;2022-03-01 09:00:05;Запрос ценовых предложений;Закупка не состоялась
42;6956603-1;45529247-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Линейка;Линейка пластиковая, 30 см, черного цвета;10;Штука;129.46;1 294.60;2022-02-22 09:00:02;2022-03-01 09:00:05;Запрос ценовых предложений;Закупка не состоялась
43;6956603-1;45529594-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Скоросшиватель;Скоросшиватель на завязках;10;Штука;58.04;580.40;2022-02-22 09:00:02;2022-03-01 09:00:05;Запрос ценовых предложений;Закупка не состоялась
44;6953479-1;45527342-ЗЦП3;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Швабра;Швабра бытовая регулируемая в комплекте;10;Комплект;4 790.18;47 901.80;2022-02-22 09:00:48;2022-03-01 09:00:50;Запрос ценовых предложений;Закупка не состоялась
45;6953479-1;45527429-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Щетка;Щетка для уборки пола с длинной ручкой;10;Штука;1 276.79;12 767.90;2022-02-22 09:00:48;2022-03-01 09:00:50;Запрос ценовых предложений;Закупка не состоялась
46;6953479-1;45514900-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Губка;Губка для мытья посуды;117;Штука;142.86;16 714.62;2022-02-22 09:00:48;2022-03-01 09:00:50;Запрос ценовых предложений;Закупка не состоялась
47;6953479-1;45518567-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Салфетка;Салфетки 30*30 см, в упаковке 3 штуки;24;Упаковка;258.93;6 214.32;2022-02-22 09:00:48;2022-03-01 09:00:50;Запрос ценовых предложений;Закупка не состоялась
48;6953479-1;45520164-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Ведро;Ведро из пластика, объем 10 л;15;Штука;767.86;11 517.90;2022-02-22 09:00:48;2022-03-01 09:00:50;Запрос ценовых предложений;Закупка не состоялась
49;6953479-1;45520093-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Веник;Веник;15;Штука;580.36;8 705.40;2022-02-22 09:00:48;2022-03-01 09:00:50;Запрос ценовых предложений;Закупка не состоялась
50;6953479-1;45519104-ЗЦП3;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Средство моющее;Шампунь для ручной чистки ковровых изделий, 450 мл, состав: менее 5% кислородосодержащий отбеливатель, неионогенные и анионные ПАВ, поликарбоксилаты, ароматизатор, кумарин, гераниол, бутилфенил, метилпропиональ;10;Бутылка;1 357.14;13 571.40;2022-02-22 09:00:48;2022-03-01 09:00:50;Запрос ценовых предложений;Закупка не состоялась
51;6953479-1;45520133-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Ведро;Ведро из пластика, объем 5 л;5;Штука;357.14;1 785.70;2022-02-22 09:00:48;2022-03-01 09:00:50;Запрос ценовых предложений;Закупка не состоялась
52;6953479-1;45514754-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Средство дезинфицирующее;"Отбеливатель ""Белизна"" (Волгоград), в бутылках по 1 литру";116;Бутылка;129.92;15 070.72;2022-02-22 09:00:48;2022-03-01 09:00:50;Запрос ценовых предложений;Закупка не состоялась
53;6953479-1;45514931-ЗЦП2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Губка;Губка металлическая;57;Штука;71.43;4 071.51;2022-02-22 09:00:48;2022-03-01 09:00:50;Запрос ценовых предложений;Закупка не состоялась
54;6949644-1;45529358-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Ножницы;Ножницы канцелярские, 18 см;15;Штука;297.32;4 459.80;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка не состоялась
55;6949644-1;45530333-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Тетрадь;Тетрадь общая, 96 листов, клетка;10;Штука;236.61;2 366.10;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка не состоялась
56;6949644-1;45528996-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Зажим;Зажим канцелярский 51 мм;10;Одна пачка;889.29;8 892.90;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка состоялась
57;6949644-1;45529297-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Маркер;Набор текстовых маркеров, 4 штуки в наборе;20;Набор;629.46;12 589.20;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка состоялась
58;6949644-1;45529263-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Скотч;Скотч 19*10 см;30;Штука;73.21;2 196.30;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка состоялась
59;6949644-1;45529309-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Маркер;Набор маркеров для белой доски, 4 штуки в наборе;10;Набор;404.46;4 044.60;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка состоялась
60;6949644-1;45529199-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Штрих-корректор;Штрих-корректор, 20 мл;50;Штука;223.21;11 160.50;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка состоялась
61;6949644-1;45530243-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Разделитель;Разделитель индексный бумажный, формат А4, в упаковке 31 штука;10;Упаковка;459.82;4 598.20;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка не состоялась
62;6949644-1;45529604-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Файл - вкладыш;Файл А4, 40 мкм;1700;Штука;11.61;19 737.00;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка состоялась
63;6949644-1;45529620-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Ручка канцелярская;Ручка шариковая, красная, 0,7 мм;15;Штука;38.39;575.85;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка состоялась
64;6949644-1;45529637-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Ручка канцелярская;Ручка шариковая, синяя, 0,7 мм;300;Штука;47.32;14 196.00;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка состоялась
65;6949644-1;45529549-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Скоросшиватель;Скоросшиватель пластиковый А4;20;Штука;100.89;2 017.80;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка не состоялась
66;6949644-1;45530268-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Степлер;Степлер №10;15;Штука;410.71;6 160.65;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка состоялась
67;6949644-1;45529539-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Папка;Папка пластиковая на резинке;10;Штука;166.96;1 669.60;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка состоялась
68;6949644-1;45529528-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Папка;Папка пластиковая с 20 файлами;20;Штука;291.96;5 839.20;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка состоялась
69;6949644-1;45528686-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Бумага для офисного оборудования;Бумага формата А4, плотность 160 г/м², белая, 250 листов;2;Одна пачка;3 473.21;6 946.42;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка не состоялась
70;6949644-1;45529515-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Регистр;Регистр картонный, формат А4, 8 см, темно-синего цвета;116;Штука;665.18;77 160.88;2022-02-21 14:00:00;2022-02-28 14:00:08;Запрос ценовых предложений;Закупка состоялась
