№;id объявления;id лота;id пункта плана;Вид предмета закупок;Код товара, работы, услуги (в соответствии с КТРУ);Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Краткая техническая характеристика;Количество, объём;Цена за единицу, тенге;Сумма, утвержденная  для закупки, тенге;Цена (без НДС) по договору, тенге;Сумма  (без НДС), договору тенге;Сумма (без НДС), оплачен поставщику тенге;Начало приема заявок;Окончание приема заявок;Планируемый срок осуществления поставки;Способ закупки;Статус лота;Сумма по договору факт;Экономия;Сумма оплаты поставщику
16;5309060-1;13305301-ОЛ-ЗЦП1;39515604;Товар;329959.900.000018;Индекс;Индексы в наборе - 45х12 5цв. по 25л. неон.цв.;самоклеющийся;250;310.71;77677.5;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
17;5309060-1;13305301-ОЛ-ЗЦП1;39512966;Товар;259923.500.000006;Скоба;Скоба №24/6;для канцелярских целей, проволочная;207;128.57;26613.99;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
18;5309060-1;13305301-ОЛ-ЗЦП1;39520424;Товар;329959.900.000081;Скотч;Скотч, узкий;полиэтиленовый;16;51.79;828.64;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
19;5309060-1;13305301-ОЛ-ЗЦП1;39514960;Товар;329915.100.000000;Карандаш;Карандаш с ластиком;простой;207;20.54;4251.78;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
20;5309060-1;13305301-ОЛ-ЗЦП1;39519125;Товар;329914.550.000003;Точилка;точилка;для подтачивания грифельного карандаша;16;116.07;1857.12;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
21;5309060-1;13305301-ОЛ-ЗЦП1;39520354;Товар;329959.900.000081;Скотч;Скотч, широкий;полиэтиленовый;16;770.54;12328.64;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
22;5309060-1;13305301-ОЛ-ЗЦП1;39517893;Товар;259923.300.000000;Зажим;Зажим, канцелярский, 25 мм;канцелярский;207;220.54;45651.78;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
23;5309060-1;13305301-ОЛ-ЗЦП1;39515475;Товар;205210.900.000025;Клей;Клей, канцелярский, карандаш;канцелярский;207;169.64;35115.48;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
24;5309060-1;13305301-ОЛ-ЗЦП1;39518205;Товар;282323.900.000002;Степлер;Степлер №24/6;канцелярский, механический;16;750;12000;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
25;5309060-1;13305301-ОЛ-ЗЦП1;39518981;Товар;257111.910.000001;Ножницы;ножницы;канцелярские;16;487.5;7800;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
26;5309060-1;13305301-ОЛ-ЗЦП1;39513824;Товар;222925.500.000012;Маркер;маркер для выделения текста, 4 цвета;пластиковый, нестираемый;207;343.75;71156.25;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
27;5309060-1;13305301-ОЛ-ЗЦП1;39513576;Товар;172312.700.000000;Бумага;Бумага д/заметок - 76х76 5цв. 400л.;для заметок;207;152.68;31604.76;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
28;5309060-1;13305301-ОЛ-ЗЦП1;39512239;Товар;172314.500.000002;Бумага для офисного оборудования;Бумага офисная - А4 500л. 80гр. Белизна 169%;формат А4;758;1489.29;1128881.82;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
29;5309060-1;13305301-ОЛ-ЗЦП1;39519196;Товар;259922.000.000007;Подставка;подставка для бумаг;для бумаг;16;221.43;3542.88;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
30;5309060-1;13305301-ОЛ-ЗЦП1;39552567;Товар;329959.900.000131;Спрей;Спрей для маркерной доски;для маркерной доски;5;688.39;3441.95;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
31;5309060-1;13305301-ОЛ-ЗЦП1;39549986;Товар;172313.500.000003;Регистр;Папка-регистратор, широкий , 70 мм;картонный, формат А4;130;606.25;78812.5;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
32;5309060-1;13305301-ОЛ-ЗЦП1;39550084;Товар;172313.500.000003;Регистр;Папка-регистратор, узкий, 50 мм;картонный, формат А4;60;575;34500;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
33;5309060-1;13305301-ОЛ-ЗЦП1;39553806;Товар;222925.500.000011;Маркер;Маркер для маркерной доски;пластиковый, стирающийся;7;779.46;5456.22;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
34;5309060-1;13305301-ОЛ-ЗЦП1;39547957;Товар;222925.900.000013;Диспенсер;диспенсер для скрепок;для скрепок;12;359.82;4317.84;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
35;5309060-1;13305301-ОЛ-ЗЦП1;39544997;Товар;282323.900.000008;Антистеплер;антистеплер для скоб;для скоб;22;123.21;2710.62;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
36;5309060-1;13305301-ОЛ-ЗЦП1;39554035;Товар;329959.900.000095;Губка;Губка для маркерной доски;для маркерной доски;9;525.89;4733.01;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
37;5309060-1;13305301-ОЛ-ЗЦП1;39544023;Товар;221973.210.000000;Ластик;канцелярский ластик;мягкий;48;84.82;4071.36;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
38;5309060-1;13305301-ОЛ-ЗЦП1;39555128;Товар;259318.900.000006;Игла;Игла для прошивки;шило, металлическая;6;261.61;1569.66;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
39;5309060-1;13305301-ОЛ-ЗЦП1;39544174;Товар;282312.100.000000;Калькулятор;Калькулятор настольный 16 разрядный, черный, двойн. питание;бухгалтерский;12;4749.11;56989.32;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
40;5309060-1;13305301-ОЛ-ЗЦП1;39545349;Товар;172314.500.000001;Бумага для офисного оборудования;Бумага формата А3;формат А3;8;2977.68;23821.44;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
41;5309060-1;13305301-ОЛ-ЗЦП1;39552310;Товар;329916.300.000002;Краска;Штемпельная краска для печатей и штемпелей;штемпельная;6;282.14;1692.84;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
42;5309060-1;13305301-ОЛ-ЗЦП1;39554922;Товар;222929.900.000184;Органайзер;пластиковый органайзер, на вращающейся основе;пластиковый, на вращающейся основе;27;658.04;17767.08;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
43;5309060-1;13305301-ОЛ-ЗЦП1;39548478;Товар;259314.700.000005;Кнопка;гвоздь канцелярский;канцелярская;27;178.57;4821.39;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
44;5309060-1;13305301-ОЛ-ЗЦП1;39554786;Товар;329959.900.000010;Магнит;Магнит для маркерной доски;для доски;7;372.32;2606.24;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
45;5309060-1;13305301-ОЛ-ЗЦП1;39513141;Товар;259923.500.000005;Скрепка;Скрепки - 28мм. 100шт. в одной пачке;канцелярская, металлическая;207;117.86;24397.02;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
46;5309060-1;13305301-ОЛ-ЗЦП1;39514767;Товар;329912.130.000000;Ручка канцелярская;Ручка канцелярская, шариковая, паста синего цвета;шариковая;207;108.04;22364.28;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
47;5309060-1;13305301-ОЛ-ЗЦП1;39517473;Товар;259923.300.000000;Зажим;Зажим, канцелярский, 19 мм;канцелярский;207;143.75;29756.25;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
48;5309060-1;13305301-ОЛ-ЗЦП1;39518016;Товар;329959.900.000067;Штрих-корректор;корректор;канцелярский;207;195.54;40476.78;;;;2021-01-12 15:00:00;2021-01-19 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
49;5303347-1;38271358-ЗЦП1;;Товар;192021.550.000000;Бензин для двигателей с искровым зажиганием;Бензин АИ-95;марка АИ-95;2000;156.25;312500;;;;2021-01-11 09:00:00;2021-01-18 09:00:00;в течение 2021 года по заявке Заказчика в течение 15 календарных дней;Запрос ценовых предложений;Закупка состоялась;;;
50;5285128-1;38220732-ОИ3;;Запрос ценовых предложений;620920.000.000001;Услуги по администрированию и техническому обслуживанию программного обеспечения;Техническая поддержка программного обеспечения АВС-4;Услуги по администрированию и техническому обслуживанию программного обеспечения;1;264285.71;264285.71;;;;2020-12-28 10:24:10;2021-01-02 18:00:00;Согласно условиям технической спецификации;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
51;5277424-1;38220732-ЗЦП2;;Услуга;620920.000.000001;Услуги по администрированию и техническому обслуживанию программного обеспечения;Техническая поддержка программного обеспечения АВС-4;Услуги по администрированию и техническому обслуживанию программного обеспечения;1;264285.71;264285.71;;;;2020-12-21 10:15:00;2020-12-28 10:15:00;Согласно условиям технической спецификации;Запрос ценовых предложений;Закупка не состоялась;;;
52;5274119-1;38270660-ОИ2;;Запрос ценовых предложений;619010.900.000004;Услуги по предоставлению платного телевидения;Услуги по предоставлению платного телевидения Сам-Модуль;Услуги по предоставлению платного телевидения;1;257142.86;257142.86;;;;2020-12-15 12:05:52;2020-12-20 18:00:00;с момента подписания Договора по 31 декабря 2021 года;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
53;5274119-1;38270461-ОИ2;;Запрос ценовых предложений;619010.900.000004;Услуги по предоставлению платного телевидения;Услуги по предоставлению платного телевидения;Услуги по предоставлению платного телевидения;1;3732857.14;3732857.14;;;;2020-12-15 12:05:52;2020-12-20 18:00:00;с момента подписания Договора по 31 декабря 2021 года;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
54;5270153-1;38839226-ЗЦП1;;Услуга;841212.025.000000;Услуги по проведению полемеразных цепных реакции;Услуги по проведению ПЦР-анализа на КВИ;Диагностика инфекционных заболеваний (ПЦР);1;4099000;4099000;;;;2020-12-11 17:17:00;2020-12-22 17:17:00;15 календарных дней с момента подписания договора;Запрос ценовых предложений;Закупка состоялась;;;
55;5269838-1;38271358-ОИ2;;Запрос ценовых предложений;192021.550.000000;Бензин для двигателей с искровым зажиганием;Бензин АИ-95;марка АИ-95;2000;156.25;312500;;;;2020-12-11 15:10:03;2020-12-16 18:00:00;в течение 2021 года по заявке Заказчика в течение 15 календарных дней;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
56;5265690-1;38705903-ЗЦП1;;Услуга;841112.900.000021;Услуги по транспортному обслуживанию служебным автотранспортом;Транспортные услуги;Услуги по транспортному обслуживанию служебным автотранспортом;1;100000;100000;;;;2020-12-09 17:17:00;2020-12-20 17:17:00;до 31 декабря 2020 г.;Запрос ценовых предложений;Закупка состоялась;;;
57;5265241-1;38657214-ЗЦП1;;Товар;108222.900.000000;Набор подарочный;Подарочный набор кондитерских изделий;пищевой;190;5500;1045000;;;;2020-12-09 15:15:15;2020-12-20 15:15:15;до 31 декабря 2020 г.;Запрос ценовых предложений;Закупка состоялась;;;
58;5265007-1;31636621-ЗЦП1;;Услуга;841212.025.000000;Услуги по проведению полемеразных цепных реакции;"""Услуги по проведению ПЦР-анализа на КВИ """;Диагностика инфекционных заболеваний (ПЦР);1;756200;756200;;;;2020-12-09 13:00:00;2020-12-20 13:00:00;до конца 2020 года;Запрос ценовых предложений;Закупка состоялась;;;
59;5261934-1;38220732-ЗЦП1;;Услуга;620920.000.000001;Услуги по администрированию и техническому обслуживанию программного обеспечения;Техническая поддержка программного обеспечения АВС-4;Услуги по администрированию и техническому обслуживанию программного обеспечения;1;264285.71;264285.71;;;;2020-12-08 12:00:00;2020-12-15 12:00:00;Согласно условиям технической спецификации;Запрос ценовых предложений;Закупка не состоялась;;;
60;5261824-1;38270660-ЗЦП1;;Услуга;619010.900.000004;Услуги по предоставлению платного телевидения;Услуги по предоставлению платного телевидения Сам-Модуль;Услуги по предоставлению платного телевидения;1;257142.86;257142.86;;;;2020-12-08 12:00:00;2020-12-15 12:00:00;с момента подписания Договора по 31 декабря 2021 года;Запрос ценовых предложений;Закупка не состоялась;;;
61;5261824-1;38270461-ЗЦП1;;Услуга;619010.900.000004;Услуги по предоставлению платного телевидения;Услуги по предоставлению платного телевидения;Услуги по предоставлению платного телевидения;1;3732857.14;3732857.14;;;;2020-12-08 12:00:00;2020-12-15 12:00:00;с момента подписания Договора по 31 декабря 2021 года;Запрос ценовых предложений;Закупка не состоялась;;;
62;5261659-1;38271969-ЗЦП1;;Услуга;841112.900.000021;Услуги по транспортному обслуживанию служебным автотранспортом;Транспортные услуги;Услуги по транспортному обслуживанию служебным автотранспортом;1;1025191.34;1025191.34;;;;2020-12-08 12:00:00;2020-12-15 12:00:00;с момента подписания Договора по 31 декабря 2021 года;Запрос ценовых предложений;Закупка состоялась;;;
63;5260332-1;31629058-КСП1;;Услуга;620230.000.000001;Услуги по сопровождению и технической поддержке информационной системы;Услуги по сопровождению и модификации интернет-ресурса Управления Делами Президента Республики Казахстан;Услуги по сопровождению и технической поддержке информационной системы;1;2340178.57;2340178.57;;;;2020-12-08 09:00:00;2020-12-10 18:00:00;согласно плану графику;Конкурс с применением специального порядка;Закупка состоялась;;;
64;5254659-1;38271147-ЗЦП1;;Товар;192021.530.000001;Бензин для двигателей с искровым зажиганием;Бензин АИ-92;марка АИ-92;2000;133.93;267860;;;;2020-12-04 15:05:25;2020-12-11 15:05:32;в течение 2021 года по заявке Заказчика в течение 15 календарных дней;Запрос ценовых предложений;Закупка состоялась;;;
65;5254659-1;38271358-ЗЦП1;;Товар;192021.550.000000;Бензин для двигателей с искровым зажиганием;Бензин АИ-95;марка АИ-95;2000;156.25;312500;;;;2020-12-04 15:05:25;2020-12-11 15:05:32;в течение 2021 года по заявке Заказчика в течение 15 календарных дней;Запрос ценовых предложений;Закупка не состоялась;;;
66;5239891-1;38199519-ЗЦП2;;Товар;222910.000.000006;Перчатки;Перчатки для защиты рук;одноразовые, нитриловые;10944;42;459648;;;;2020-11-27 11:00:00;2020-12-07 11:00:20;до 25 декабря 2020 г.;Запрос ценовых предложений;Закупка состоялась;;;
67;5235201-1;38062608-ЗЦП3;;Товар;262030.300.000001;KVM-переключатель;KVM-переключатель;порты USB/DVI с количеством подключений более 1 компьютера, но не более 4 компьютеров;150;12321;1848150;;;;2020-11-26 10:00:00;2020-12-05 11:00:00;15 календарных дней с момента подписания договора;Запрос ценовых предложений;Закупка состоялась;;;
68;5225988-1;34365428-ЗЦП4;;Товар;263021.200.000007;Коммутатор сетевой;Гигабитный коммутатор 24 порта;неуправляемый, симметричный;4;53482.14;213928.56;;;;2020-11-23 18:05:00;2020-11-30 18:05:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
69;5223481-1;38199519-ЗЦП1;;Товар;222910.000.000006;Перчатки;Перчатки для защиты рук;одноразовые, нитриловые;10944;42;459648;;;;2020-11-24 09:00:00;2020-11-26 18:00:00;до 25 декабря 2020 г.;Запрос ценовых предложений;Закупка не состоялась;;;
70;5220463-1;38062608-ЗЦП2;;Товар;262030.300.000001;KVM-переключатель;KVM-переключатель;порты USB/DVI с количеством подключений более 1 компьютера, но не более 4 компьютеров;150;12321;1848150;;;;2020-11-23 09:00:00;2020-11-25 18:00:00;15 календарных дней с момента подписания договора;Запрос ценовых предложений;Закупка не состоялась;;;
71;5199759-1;38062608-ЗЦП1;;Товар;262030.300.000001;KVM-переключатель;KVM-переключатель;порты USB/DVI с количеством подключений более 1 компьютера, но не более 4 компьютеров;150;12321;1848150;;;;2020-11-18 09:00:00;2020-11-20 18:00:00;15 календарных дней с момента подписания договора;Запрос ценовых предложений;Закупка не состоялась;;;
72;5163349-1;35678614-ЗЦП1;;Товар;262013.000.000011;Компьютер;компьютер в комплекте;офисный (универсальный);7;407142.86;2850000.02;;;;2020-11-10 09:00:00;2020-11-12 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
73;5156072-1;31736830-ЗЦП1;;Услуга;712019.000.000009;Услуги по диагностированию/экспертизе/анализу/испытаниям/тестированию/осмотру;Диагностика ОС;Услуги по диагностированию/экспертизе/анализу/испытаниям/тестированию/осмотру;1;1950000;1950000;;;;2020-11-06 12:00:00;2020-11-13 12:00:00;ноябрь;Запрос ценовых предложений;Закупка состоялась;;;
74;5150142-1;34365370-ОИ4;;Запрос ценовых предложений;273213.700.000203;Кабель;Кабель ТППэП 10*2*0,5 экранированная;марка ТППэп, напряжение не более 1 000 В;200;309.82;61964;;;;2020-11-05 12:27:06;2020-11-10 12:27:06;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
75;5139820-1;36800497-ОИ4;;Запрос ценовых предложений;262021.300.000024;Диск жесткий;Диск жесткий 4ТВ;"интерфейс SATA 3 Гбит/с, емкость более 4 Тб, но не более 8 Тб, размер 3,5""";10;38839.29;388392.9;;;;2020-11-03 16:18:43;2020-11-10 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
76;5138764-1;31520628-ЗЦП1;;Услуга;841212.030.000000;Услуги по медицинскому осмотру персонала, включая предварительные, периодические и внеочередные (внеплановые) осмотры;Услуги по медицинскому осмотру персонала (внеплановые) осмотры 120 челоек;Услуги по медицинскому осмотру персонала, включая предварительные, периодические и внеочередные (внеплановые) осмотры;1;637946;637946;;;;2020-11-03 12:50:00;2020-11-10 12:50:00;ноябрь;Запрос ценовых предложений;Закупка состоялась;;;
77;5137435-1;36801864-ЗЦП3;;Товар;262021.900.000098;Флеш-накопитель;Флеш-накопитель 16 Гб;интерфейс USB 3.0, емкость более 16 Гб, но не более 64 Гб;80;4892.86;391428.8;;;;2020-11-03 10:40:00;2020-11-10 10:40:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
78;5131768-1;33864604-ЗЦП3;;Товар;262011.100.000001;Ноутбук;Ноутбук;среднего класса;1;542982.14;542982.14;;;;2020-11-02 13:13:13;2020-11-09 13:13:13;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
79;5123872-1;31747365-ЗЦП3;;Товар;263021.200.000003;Коммутационная панель (кросс-панель, патч-панель);Патч-панель 24 портовая RJ45 cat 6;количество портов 24;40;27901.79;1116071.6;;;;2020-10-29 16:10:10;2020-11-05 16:11:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
80;5123872-1;31801820-ЗЦП3;;Товар;263030.900.000058;Розетка;Розетка информационная RJ45 6e cat;RJ 45;600;2430;1458000;;;;2020-10-29 16:10:10;2020-11-05 16:11:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
81;5122135-1;31807731-ОИ3;;Запрос ценовых предложений;265145.200.000012;Тестер;Трассировщик кабеля;для прозвонки;4;39503.45;158013.8;;;;2020-10-29 11:37:57;2020-11-03 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
82;5106446-1;33864604-ЗЦП2;;Товар;262011.100.000001;Ноутбук;Ноутбук;среднего класса;1;542982.14;542982.14;;;;2020-10-27 09:00:00;2020-10-29 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
