№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
10;5736089-1;43927606-ЗЦП1;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Элемент электронагревательный;Блок тэн Электро тэн для обогрева бойлера. Материал углеродистая сталь, 3 фазный, мощность 380В, обогрева 12Квт, длина тэна внутренняя часть 630мм, наружное часть 40мм, общая длина 670мм, диаметр резьбы 55мм, 6 гранная, диаметр 72 мм. Производство-Россия. В количестве-15 шт.;15;Штука;17 857.14;267 857.10;2021-04-16 11:40:05;2021-04-23 11:40:09;Запрос ценовых предложений;Закупка состоялась
11;5735201-1;43630340-ЗЦП3;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Шуруповерт;Аккумуляторный шуруповерт Li-Ion BOSCH GSR 180-LI 2 x 1,5 Ah Case. Напряжение питания 18 В, частота холостого хода 0 — 1700 минˉ¹, 0 — 450 минˉ¹, Аккумуляторы в комплекте 2 х 1,5 Ач, Диаметр сверления в дереве - до 35мм. Стаоли - до 10мм. Патрон 13 мм, быстрозажимной. Кейс пластиковый в комплекте.;1;Комплект;51 785.71;51 785.71;2021-04-16 10:38:06;2021-04-23 10:38:19;Запрос ценовых предложений;Закупка не состоялась
12;5699437-1;43630340-ОИ2;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Шуруповерт;Аккумуляторный шуруповерт Li-Ion BOSCH GSR 180-LI 2 x 1,5 Ah Case. Напряжение питания 18 В, частота холостого хода 0 — 1700 минˉ¹, 0 — 450 минˉ¹, Аккумуляторы в комплекте 2 х 1,5 Ач, Диаметр сверления в дереве - до 35мм. Стаоли - до 10мм. Патрон 13 мм, быстрозажимной. Кейс пластиковый в комплекте.;1;Комплект;51 785.71;51 785.71;2021-04-09 12:30:07;2021-04-14 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
13;5664220-1;43630156-ЗЦП1;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Батарейка;"Батарея LR 14 или (С) (оригинал) Duracell, Energizer, Varta, Sony. Не позднее 2020 года выпуска. диаметр 26,2 мм; высота 50 мм; напряжение 1,5 вольта; емкость 1750 мАч; масса 37 гр. Для сенсорного диспенсера";100;Пара;1 312.50;131 250.00;2021-04-02 12:26:08;2021-04-09 12:26:11;Запрос ценовых предложений;Закупка состоялась
14;5664160-1;43630340-ЗЦП1;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Шуруповерт;Аккумуляторный шуруповерт Li-Ion BOSCH GSR 180-LI 2 x 1,5 Ah Case. Напряжение питания 18 В, частота холостого хода 0 — 1700 минˉ¹, 0 — 450 минˉ¹, Аккумуляторы в комплекте 2 х 1,5 Ач, Диаметр сверления в дереве - до 35мм. Стаоли - до 10мм. Патрон 13 мм, быстрозажимной. Кейс пластиковый в комплекте.;1;Комплект;51 785.71;51 785.71;2021-04-02 12:21:27;2021-04-09 12:21:35;Запрос ценовых предложений;Закупка не состоялась
15;5567097-1;37960836-ОИ4;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Куртка;"Куртка зимняя женская для садовницы. Куртка:  широкие световозвращающие полосы по низу кокеток и рукавов;  съемный капюшон с регулировкой объема по лицевой и затылочной части;  наклонные нагрудные карманы;  нижние накладные карманы с клапанами;  застежка на пуговицах с ветрозащитной планкой;  внутренние трикотажные манжеты-напульсники;  внутренние карманы для документов на молнии. Ткань костюма: смесовая, водоотталкивающая. Состав ткани: 65% полиэфир, 35% хлопок. Плотность ткани: 210 г/м2. Утеплитель: синтепон, в куртке - пл.400 г/м2 Подкладка: 100% полиэфир. Цвет: васильковый. Логотип Заказчика на груди куртки (термотрансферная печать). Размеры и количество: (52 - 1шт).";1;Штука;22 321.43;22 321.43;2021-03-11 03:30:51;2021-03-18 03:30:51;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
16;5567097-1;37961011-ОИ4;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Тапочки;Цвет: белый, Материал кожа, с перфорацией. Подошва: ПВХ. Ремешок для фиксации на стопе. Размеры и количество: (36-7 шт), (37-11 шт), (38-5 шт), (39- 9 шт), (40-1 шт), (41-2 шт).;35;Пара;8 928.57;312 499.95;2021-03-11 03:30:51;2021-03-18 03:30:51;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
17;5567097-1;37961143-ОИ4;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Костюм;"Костюм заведующего склада зимний Комплектация: 1. Куртка:  широкие световозвращающие полосы по низу кокеток и рукавов;  съемный капюшон с регулировкой объема по лицевой и затылочной части;  наклонные нагрудные карманы;  нижние накладные карманы с клапанами;  застежка на молнию с ветрозащитной планкой на заклепках;  внутренние трикотажные манжеты-напульсники;  внутренние карманы для документов на молнии. 2. Полукомбинезон:  спереди застежка на молнию;  на регулируемых по длине бретели;  нагрудной карман-портфель;  нижние накладные карманы с наклонным входом;  по спинке на уровне талии кулиса с эластичной тесьмой;  усилительные накладки в области коленей;  широкие световозвращающие полосы по низу брюк;  в нижней части брюк разрезы на молнии под планкой для регулирования ширины. Ткань костюма: смесовая, водоотталкивающая. Состав ткани: 65% полиэфир, 35% хлопок. Плотность ткани: 210 г/м2. Утеплитель: синтепон, в куртке - пл.400 г/м2, в полукомбинезоне - пл.300 г/м2. Подкладка: 100% полиэфир. Цвет: темно серый, плечо куртки светло-серый, с черными полосками на уровне: спины, груди, рукавов. Логотип Заказчика на груди куртки с левой стороны. (термотрансферная печать). Размеры и количество: (52 - 1шт.).";1;Комплект;22 321.43;22 321.43;2021-03-11 03:30:51;2021-03-18 03:30:51;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
18;5567097-1;37961117-ОИ4;;"РГП на ПХВ ""Дирекция административных зданий Администрации Президента и Правительства РК"" УДП РК""";Товар;Костюм;"Костюм сварщика Комплектация: 1. Куртка:  куртка с центральной застежкой на пуговицы;  наклонные карманы в нижней части куртки,  рукава с манжетами на пуговицах по низу,  усилительные накладки в области локтей, 2. Брюки:  нижние накладные карманы с наклонным входом;  усилительные накладки в области коленей; Ткань костюма: брезентовая, ОП. Плотность ткани: не менее 480 г/м2. Цвет: хаки. Логотип Заказчикана груди куртки (термотрансферная печать). Размеры и количество: (52 - 1шт.).";1;Комплект;17 857.14;17 857.14;2021-03-11 03:30:51;2021-03-18 03:30:51;Из одного источника по несостоявшимся закупкам;Закупка состоялась
19;5567097-1;37960990-ОИ4;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Футболка;Ткань: трикотажное полотно. Состав: 100% хлопок. Плотность: 160 г/м2. Цвет белый. С логотипом Предприятия на груди(термотрансферная печать) Размеры и количество: (44-8 шт), (46-12 шт), (48-12 шт), (50-18 шт), (52-2 шт), (54-4 шт), (56-4 шт), (58 - 4 шт).;64;Штука;1 160.71;74 285.44;2021-03-11 03:30:51;2021-03-18 03:30:51;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
20;5567097-1;37960973-ОИ4;;"РГП на ПХВ ""Дирекция административных зданий Администрации Президента и Правительства РК"" УДП РК""";Товар;Халат;"Халат для уборщиц Халат женский:  длина ниже колена;  застежка на пуговицах;  рукав ¾ с манжетом;  накладные карманы. Ткань: смесовая. Состав ткани: 65% полиэфир, 35% хлопок. Плотность: 120 г/м2. Цвет: ярко-голубой со светло-серой отделкой на воротнике, на рукаве и на карманах. Логотип Заказчика на груди (термотрансферная печать). Размеры и количество: 56 - 1 шт. 58- 2шт.";3;Штука;4 910.71;14 732.13;2021-03-11 03:30:51;2021-03-18 03:30:51;Из одного источника по несостоявшимся закупкам;Закупка состоялась
21;5567097-1;37960875-ОИ4;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Костюм;"Костюм летний женский для садовницы. Комплектация: Куртка:  центральная застежка-молния;  цельнокроеная планка на кнопках;  нагрудные накладные карманы с клапанами;  вместительные боковые карманы;  манжеты на кнопках с регулировкой объёма; Брюки:  шлевки по талии брюк;  усиленная застежка пояса брюк;  гульфик на молнии. Ткань костюма: смесовая, водоотталкивающая. Состав ткани: 80% хлопок, 20% полиэфир. Плотность ткани: 210 г/м2. Цвет: ярко-голубой со светло-серой отделкой на воротнике, на рукаве и на карманах. Логотип Заказчика на груди куртки (термотрансферная печать). Размеры и количество: (52 - 1шт).";1;Комплект;12 232.14;12 232.14;2021-03-11 03:30:51;2021-03-18 03:30:51;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
22;5567097-1;37961128-ОИ4;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Футболка;Ткань: трикотажное полотно. Состав: 95% хлопок, 5% лайкра. Плотность: 160 г/м2. Цвет, размеры и количество: синий: размеры (46-4 шт), (50-4шт). светло-серый (42 -1шт), (46 -1 шт), (48-1шт), (50-1шт), (54-1шт), (56 -2шт). черный: (50-30шт), (46-6шт), (48-30 шт), (54-6). С логотипом Предприятия на груди (термотрансферная печать);94;Штука;1 339.29;125 893.26;2021-03-11 03:30:51;2021-03-18 03:30:51;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
23;5567097-1;37961134-ОИ4;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Кепи;Ткань: хлопок. Плотность: 150 гр/м2 Цвет и количество: черный- 40 шт, светло-серый-7 шт. Форма: классическая, пятиклинная, вентиляционные отвверствия. Козырек: жесткий Размер: регулируемый Логотип Предприятия (термотрансферная печать).;47;Штука;892.86;41 964.42;2021-03-11 03:30:51;2021-03-18 03:30:51;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
24;5567097-1;37961124-ОИ4;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Ботинки;Материал: натуральная кожа. Подносок: металлический. Стелька: антипрокольная. Полосы на ботинке: светоотражающие. Материал подошвы: термополиуретан. Цвет черный/серый. Размеры и количество: (39-1шт), (40 -9шт) ,(41-12 шт), (42- 15шт), (43-9шт) (47-1шт).;47;Пара;10 267.86;482 589.42;2021-03-11 03:30:51;2021-03-18 03:30:51;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
25;5534054-1;37960836-ОИ3;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Куртка;"Куртка зимняя женская для садовницы. Куртка:  широкие световозвращающие полосы по низу кокеток и рукавов;  съемный капюшон с регулировкой объема по лицевой и затылочной части;  наклонные нагрудные карманы;  нижние накладные карманы с клапанами;  застежка на пуговицах с ветрозащитной планкой;  внутренние трикотажные манжеты-напульсники;  внутренние карманы для документов на молнии. Ткань костюма: смесовая, водоотталкивающая. Состав ткани: 65% полиэфир, 35% хлопок. Плотность ткани: 210 г/м2. Утеплитель: синтепон, в куртке - пл.400 г/м2 Подкладка: 100% полиэфир. Цвет: васильковый. Логотип Заказчика на груди куртки (термотрансферная печать). Размеры и количество: (52 - 1шт).";1;Штука;22 321.43;22 321.43;2021-03-04 02:01:50;2021-03-12 02:01:50;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
26;5534054-1;37961011-ОИ3;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Тапочки;Цвет: белый, Материал кожа, с перфорацией. Подошва: ПВХ. Ремешок для фиксации на стопе. Размеры и количество: (36-7 шт), (37-11 шт), (38-5 шт), (39- 9 шт), (40-1 шт), (41-2 шт).;35;Пара;8 928.57;312 499.95;2021-03-04 02:01:50;2021-03-12 02:01:50;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
27;5534054-1;37961143-ОИ3;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Костюм;"Костюм заведующего склада зимний Комплектация: 1. Куртка:  широкие световозвращающие полосы по низу кокеток и рукавов;  съемный капюшон с регулировкой объема по лицевой и затылочной части;  наклонные нагрудные карманы;  нижние накладные карманы с клапанами;  застежка на молнию с ветрозащитной планкой на заклепках;  внутренние трикотажные манжеты-напульсники;  внутренние карманы для документов на молнии. 2. Полукомбинезон:  спереди застежка на молнию;  на регулируемых по длине бретели;  нагрудной карман-портфель;  нижние накладные карманы с наклонным входом;  по спинке на уровне талии кулиса с эластичной тесьмой;  усилительные накладки в области коленей;  широкие световозвращающие полосы по низу брюк;  в нижней части брюк разрезы на молнии под планкой для регулирования ширины. Ткань костюма: смесовая, водоотталкивающая. Состав ткани: 65% полиэфир, 35% хлопок. Плотность ткани: 210 г/м2. Утеплитель: синтепон, в куртке - пл.400 г/м2, в полукомбинезоне - пл.300 г/м2. Подкладка: 100% полиэфир. Цвет: темно серый, плечо куртки светло-серый, с черными полосками на уровне: спины, груди, рукавов. Логотип Заказчика на груди куртки с левой стороны. (термотрансферная печать). Размеры и количество: (52 - 1шт.).";1;Комплект;22 321.43;22 321.43;2021-03-04 02:01:50;2021-03-12 02:01:50;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
28;5534054-1;37961117-ОИ3;;"РГП на ПХВ ""Дирекция административных зданий Администрации Президента и Правительства РК"" УДП РК""";Товар;Костюм;"Костюм сварщика Комплектация: 1. Куртка:  куртка с центральной застежкой на пуговицы;  наклонные карманы в нижней части куртки,  рукава с манжетами на пуговицах по низу,  усилительные накладки в области локтей, 2. Брюки:  нижние накладные карманы с наклонным входом;  усилительные накладки в области коленей; Ткань костюма: брезентовая, ОП. Плотность ткани: не менее 480 г/м2. Цвет: хаки. Логотип Заказчикана груди куртки (термотрансферная печать). Размеры и количество: (52 - 1шт.).";1;Комплект;17 857.14;17 857.14;2021-03-04 02:01:50;2021-03-12 02:01:50;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
29;5534054-1;37960973-ОИ3;;"РГП на ПХВ ""Дирекция административных зданий Администрации Президента и Правительства РК"" УДП РК""";Товар;Халат;"Халат для уборщиц Халат женский:  длина ниже колена;  застежка на пуговицах;  рукав ¾ с манжетом;  накладные карманы. Ткань: смесовая. Состав ткани: 65% полиэфир, 35% хлопок. Плотность: 120 г/м2. Цвет: ярко-голубой со светло-серой отделкой на воротнике, на рукаве и на карманах. Логотип Заказчика на груди (термотрансферная печать). Размеры и количество: 56 - 1 шт. 58- 2шт.";3;Штука;4 910.71;14 732.13;2021-03-04 02:01:50;2021-03-12 02:01:50;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
30;5534054-1;37961128-ОИ3;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Футболка;Ткань: трикотажное полотно. Состав: 95% хлопок, 5% лайкра. Плотность: 160 г/м2. Цвет, размеры и количество: синий: размеры (46-4 шт), (50-4шт). светло-серый (42 -1шт), (46 -1 шт), (48-1шт), (50-1шт), (54-1шт), (56 -2шт). черный: (50-30шт), (46-6шт), (48-30 шт), (54-6). С логотипом Предприятия на груди (термотрансферная печать);94;Штука;1 339.29;125 893.26;2021-03-04 02:01:50;2021-03-12 02:01:50;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
31;5534054-1;37961134-ОИ3;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Кепи;Ткань: хлопок. Плотность: 150 гр/м2 Цвет и количество: черный- 40 шт, светло-серый-7 шт. Форма: классическая, пятиклинная, вентиляционные отвверствия. Козырек: жесткий Размер: регулируемый Логотип Предприятия (термотрансферная печать).;47;Штука;892.86;41 964.42;2021-03-04 02:01:50;2021-03-12 02:01:50;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
32;5534054-1;37961124-ОИ3;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Ботинки;Материал: натуральная кожа. Подносок: металлический. Стелька: антипрокольная. Полосы на ботинке: светоотражающие. Материал подошвы: термополиуретан. Цвет черный/серый. Размеры и количество: (39-1шт), (40 -9шт) ,(41-12 шт), (42- 15шт), (43-9шт) (47-1шт).;47;Пара;10 267.86;482 589.42;2021-03-04 02:01:50;2021-03-12 02:01:50;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
33;5534054-1;37960990-ОИ3;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Футболка;Ткань: трикотажное полотно. Состав: 100% хлопок. Плотность: 160 г/м2. Цвет белый. С логотипом Предприятия на груди(термотрансферная печать) Размеры и количество: (44-8 шт), (46-12 шт), (48-12 шт), (50-18 шт), (52-2 шт), (54-4 шт), (56-4 шт), (58 - 4 шт).;64;Штука;1 160.71;74 285.44;2021-03-04 02:01:50;2021-03-12 02:01:50;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
34;5534054-1;37960875-ОИ3;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Костюм;"Костюм летний женский для садовницы. Комплектация: Куртка:  центральная застежка-молния;  цельнокроеная планка на кнопках;  нагрудные накладные карманы с клапанами;  вместительные боковые карманы;  манжеты на кнопках с регулировкой объёма; Брюки:  шлевки по талии брюк;  усиленная застежка пояса брюк;  гульфик на молнии. Ткань костюма: смесовая, водоотталкивающая. Состав ткани: 80% хлопок, 20% полиэфир. Плотность ткани: 210 г/м2. Цвет: ярко-голубой со светло-серой отделкой на воротнике, на рукаве и на карманах. Логотип Заказчика на груди куртки (термотрансферная печать). Размеры и количество: (52 - 1шт).";1;Комплект;12 232.14;12 232.14;2021-03-04 02:01:50;2021-03-12 02:01:50;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
35;5523249-1;12983819-ОЛ-ЗЦП2;37999459;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Журнал;Журнал регистрации трудовых договоров, А4, 50 листов, в линейку, альбомный, офсет.;1;Штука;401.79;401.79;2021-03-02 12:42:25;2021-03-10 12:42:34;Запрос ценовых предложений;Закупка состоялась
36;5523249-1;12983819-ОЛ-ЗЦП2;37987732;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Ластик;"Ластик из синтетического каучука, прямоугольной формы р-р 20*30 мм. Цвет белый . ""MAPED Technic 300""";20;Штука;111.61;2 232.20;2021-03-02 12:42:25;2021-03-10 12:42:34;Запрос ценовых предложений;Закупка состоялась
37;5523249-1;12983819-ОЛ-ЗЦП2;37998507;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Скоросшиватель;Скоросшиватель картонный, ДЕЛО, 260Г/М2,не мелованный, пробитая вставка, KUVERT;250;Штука;31.25;7 812.50;2021-03-02 12:42:25;2021-03-10 12:42:34;Запрос ценовых предложений;Закупка состоялась
38;5523249-1;12983819-ОЛ-ЗЦП2;37988074;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Индекс;"Постики- индексы. Индексы, самоклеящаяся бумага, 5 цв, размер 20*50мм. Плотность-75 г/м2, ""Deli""";50;Набор;200.89;10 044.50;2021-03-02 12:42:25;2021-03-10 12:42:34;Запрос ценовых предложений;Закупка состоялась
39;5523249-1;12983819-ОЛ-ЗЦП2;37999631;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Штрих-корректор;"Корректирующая лента ""ErichKrause®, 21887, Techno white"", 4.2мм х 8м. В прозрачном корпусе.";15;Флакон;428.57;6 428.55;2021-03-02 12:42:25;2021-03-10 12:42:34;Запрос ценовых предложений;Закупка состоялась
40;5523249-1;12983819-ОЛ-ЗЦП2;37998679;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Ручка канцелярская;"Ручка шариковая, синяя. Толщина стержня - 0,35 мм. Шариковая ручка с мягким резиновым грифом. ""Stabilo"" bille 508N X .Оригинал.";50;Штука;401.79;20 089.50;2021-03-02 12:42:25;2021-03-10 12:42:34;Запрос ценовых предложений;Закупка состоялась
41;5523249-1;12983819-ОЛ-ЗЦП2;37998952;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Скоросшиватель;"Пластиковый, формат A4, 180мкм, с фиксатором, цвет синий, ""Hatber HD""";20;Штука;138.39;2 767.80;2021-03-02 12:42:25;2021-03-10 12:42:34;Запрос ценовых предложений;Закупка состоялась
42;5523249-1;12983819-ОЛ-ЗЦП2;37998909;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Папка;"Изготов. из плотного картона, по нижнему краю папка окантована метал. полоской. На внутр. стороне обложки имеется реестр, формат А4, шир. корешка - 80 мм.,цвет синий. ""Hatber HD""";30;Штука;625.00;18 750.00;2021-03-02 12:42:25;2021-03-10 12:42:34;Запрос ценовых предложений;Закупка состоялась
43;5523249-1;12983819-ОЛ-ЗЦП2;37999561;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Журнал;Книга учета А4, 50 л., пустографка, в клетку, обложка бумвинил. Цвет обложки синий.;20;Штука;892.86;17 857.20;2021-03-02 12:42:25;2021-03-10 12:42:34;Запрос ценовых предложений;Закупка состоялась
