№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
10;2804289-1;16098044-ЗЦП2;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Товар;Источник бесперебойного питания;Источник бесперебойного питания (Полная характеристика указана в технической спецификации);1;Штука;714 285.71;714 285.71;2018-08-28 09:00:00;2018-09-06 09:00:00;Запрос ценовых предложений;Закупка состоялась
11;2733068-1;16085039-ЗЦП3;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Товар;Станция рабочая;Рабочие станции пользователей (полная характеристика указана в технической спецификации);4;Штука;296 785.71;1 187 142.84;2018-07-19 09:00:00;2018-07-26 09:00:00;Запрос ценовых предложений;Закупка состоялась
12;2700992-1;16085039-ОИ2;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Товар;Станция рабочая;Рабочие станции пользователей (полная характеристика указана в технической спецификации);4;Штука;296 785.71;1 187 142.84;2018-07-02 09:09:17;2018-07-09 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
13;2685222-1;16085039-ЗЦП1;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Товар;Станция рабочая;Рабочие станции пользователей (полная характеристика указана в технической спецификации);4;Штука;296 785.71;1 187 142.84;2018-06-25 09:00:00;2018-07-02 09:00:00;Запрос ценовых предложений;Закупка не состоялась
14;2685222-1;16098044-ЗЦП1;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Товар;Источник бесперебойного питания;Источник бесперебойного питания (Полная характеристика указана в технической спецификации);1;Штука;714 285.71;714 285.71;2018-06-25 09:00:00;2018-07-02 09:00:00;Запрос ценовых предложений;Закупка состоялась
15;2685222-1;16086914-ЗЦП1;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Товар;Устройство;Многофункциональное устройство (Полная характеристика указана в технической спецификации);16;Штука;84 732.14;1 355 714.24;2018-06-25 09:00:00;2018-07-02 09:00:00;Запрос ценовых предложений;Закупка состоялась
16;2334831-1;15335738-ОИ2;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по аренде легковых автомобилей с водителем;предоставление транспортных услуг машиной представительского класса с водителем;1;Одна услуга;6 276 785.72;6 276 785.72;2018-02-19 10:51:44;2018-02-26 10:51:44;Из одного источника по несостоявшимся закупкам;Закупка состоялась
17;2182071-1;15335738-ОК1;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по аренде легковых автомобилей с водителем;предоставление транспортных услуг машиной представительского класса с водителем;1;Одна услуга;6 276 785.72;6 276 785.72;2018-01-19 17:15:06;2018-02-04 17:15:06;Открытый конкурс;Закупка не состоялась
18;1559042-1;8891674-ОИ3;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по сопровождению и технической поддержке информационной системы;Услуги по техническому и информационному обеспечению медицинских организаций;1;Одна услуга;79 032 142.86;79 032 142.86;2017-04-07 12:42:55;2017-04-14 12:42:55;Из одного источника по несостоявшимся закупкам;Закупка состоялась
19;1457255-1;8891674-ОК2;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по сопровождению и технической поддержке информационной системы;Услуги по техническому и информационному обеспечению медицинских организаций;1;Одна услуга;79 032 142.86;79 032 142.86;2017-03-18 09:35:49;2017-03-29 09:00:00;Открытый конкурс;Закупка не состоялась
20;1406614-1;8862009-ОИ2;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по аренде легковых автомобилей с водителем;предоставление транспортных услуг машиной представительского класса с водителем;1;Одна услуга;6 187 499.99;6 187 499.99;2017-02-27 13:48:52;2017-03-06 13:48:52;Из одного источника по несостоявшимся закупкам;Закупка состоялась
21;1296406-1;8891674-ОК1;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по сопровождению и технической поддержке информационной системы;Услуги по техническому и информационному обеспечению медицинских организаций;1;Одна услуга;79 032 142.86;79 032 142.86;2017-02-15 09:00:04;2017-03-02 09:00:04;Открытый конкурс;Закупка не состоялась
22;1235957-1;8862009-ОК1;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по аренде легковых автомобилей с водителем;предоставление транспортных услуг машиной представительского класса с водителем;1;Одна услуга;6 187 499.99;6 187 499.99;2017-01-26 19:00:05;2017-02-10 19:00:05;Открытый конкурс;Закупка не состоялась
23;839869-1;6391441-ОК1;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Работа;Разработка технико-экономического обоснования;Корректировка технико-экономического обоснования объекта «Строительство и реконструкция санатория «Казахстан» на озере Иссык-Куль»;1;Работа;16 276 785.71;16 276 785.71;2016-08-31 09:00:16;2016-09-05 09:00:16;Открытый конкурс;Закупка состоялась
24;362251-1;572905-ОИ2;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по администрированию и техническому обслуживанию прикладного программного обеспечения;Услуги по техническому и информационному обеспечению медицинских организаций;1;Одна услуга;87 275 000.00;87 275 000.00;2016-03-25 10:40:49;2016-04-01 10:40:49;Из одного источника по несостоявшимся закупкам;Закупка состоялась
25;294853-1;451558-ОИ2;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по аренде легковых автомобилей с водителем;предоставление транспортных услуг машиной представительского класса;1;Одна услуга;5 598 214.00;5 598 214.00;2016-03-16 10:30:35;2016-03-28 10:30:35;Из одного источника по несостоявшимся закупкам;Закупка состоялась
26;68850-1;572905-ОК1;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по администрированию и техническому обслуживанию прикладного программного обеспечения;Услуги по техническому и информационному обеспечению медицинских организаций;1;Одна услуга;87 275 000.00;87 275 000.00;2016-03-05 12:37:04;2016-03-11 12:37:04;Открытый конкурс;Закупка не состоялась
27;67122-1;451558-ОК1;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по аренде легковых автомобилей с водителем;предоставление транспортных услуг машиной представительского класса;1;Одна услуга;5 598 214.00;5 598 214.00;2016-02-09 18:10:12;2016-02-25 09:00:00;Открытый конкурс;Закупка не состоялась
