№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
17;7095108-1;47479172-ОИ4;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Услуга;Услуги фармакологических и бактериологических лабораторий;Услуги по санитарно-бактериологическим исследованиям работников Заказчика согласно технической спецификации;1;Одна услуга;158 400.00;158 400.00;2022-03-10 09:13:17;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
18;7035150-1;47479172-ЗЦП3;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Услуга;Услуги фармакологических и бактериологических лабораторий;Услуги по санитарно-бактериологическим исследованиям работников Заказчика согласно технической спецификации;1;Одна услуга;158 400.00;158 400.00;2022-03-02 09:00:00;2022-03-10 09:00:00;Запрос ценовых предложений;Закупка не состоялась
19;7026985-1;46581188-ОИ4;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Пакет;ГОСТ 32736-2014 Вакуумный пакет 15*30 см;192;Штука;65.40;12 556.80;2022-03-01 09:19:57;2022-03-10 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
20;7026983-1;46581169-ОИ3;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Лента чековая;ГОСТ 9327-60 Лента чековая размер 80х12х80 мм., плотность не менее 48г\м2;2052;Рулон;381.50;782 838.00;2022-03-01 09:19:28;2022-03-10 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
21;7010215-1;46580752-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Услуга;Услуги по брокерским операциям с товарами;Услуги биржевого брокера;1;Одна услуга;1.00;1.00;2022-03-02 10:00:00;2022-03-10 10:00:00;Запрос ценовых предложений;Закупка состоялась
22;7009519-1;51625976-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Крафт-бумага;Крафт – бумага беленая, упаковочная в рулоне. Вес рулона не менее 705 кг., ширина рулона не менее 102 см., плотность бумаги не менее 80гр./м2, для упаковки продуктов питания. ГОСТ 8273-75;1;Рулон;385 000.00;385 000.00;2022-03-02 10:00:00;2022-03-10 10:00:00;Запрос ценовых предложений;Закупка не состоялась
23;7009519-1;51626056-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Крафт-бумага;Крафт – бумага бурая, упаковочная в рулоне. Вес рулона не менее 550 кг., ширина рулона не менее 103 см., плотность бумаги от 78 гр./м2, для упаковки продуктов питания. ГОСТ 8273-75;1;Рулон;240 000.00;240 000.00;2022-03-02 10:00:00;2022-03-10 10:00:00;Запрос ценовых предложений;Закупка не состоялась
24;7008652-1;46580636-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Услуга;Услуги консультационные по разработке, внедрению, подготовке к сертификации систем менеджмента;Комплекс мероприятий по разработке и внедрению системы управления рисками в соответствии ISO 31000:2018;1;Одна услуга;1 800 000.00;1 800 000.00;2022-03-01 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
25;7008423-1;46580812-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Услуга;Услуги по техническому обслуживанию лифтов/лифтовых шахт и аналогичного оборудования;Услуги по техническому обслуживанию грузового лифта согласно технической спецификацией ГОСТ 34303-2017;1;Одна услуга;632 142.86;632 142.86;2022-03-11 15:00:00;2022-03-18 15:00:00;Запрос ценовых предложений;Закупка состоялась
26;7008384-1;46580813-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Услуга;Услуги по освидетельствованию грузоподъемных механизмов;Услуги по периодическому освидетельствованию грузового лифта согласно технической спецификацией ГОСТ 34303-2017;1;Одна услуга;38 392.86;38 392.86;2022-03-09 09:00:00;2022-03-16 09:00:00;Запрос ценовых предложений;Закупка не состоялась
27;7006874-1;46580722-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Услуга;Услуги по страхованию гражданско-правовой ответственности владельцев автомобильного транспорта;Услуги по обязательному страхованию транспортных средств (3 автомашины);1;Одна услуга;117 720.00;117 720.00;2022-03-04 09:00:00;2022-03-14 09:00:00;Запрос ценовых предложений;Закупка состоялась
28;7006776-1;46581357-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Пружина;Пружина для переплета диаметр 12,7 мм, шаг пружины 2 витка, сечение проволоки 0,8 мм, цвет белый, металлическая в упаковке 100шт;6;Упаковка;3 928.57;23 571.42;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
29;7006776-1;46581358-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Пружина;Пружина для переплета диаметр 19 мм, шаг пружины 3 витка, сечение проволоки 0,9 мм, цвет белый, металлическая в упаковке 100шт;6;Упаковка;4 285.71;25 714.26;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
30;7006776-1;46581359-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Пружина;Пружина для переплета диаметр 22 мм, шаг пружины 3 витка, сечение проволоки 1,0 мм, цвет белый, металлическая в упаковке 100шт;6;Штука;4 642.86;27 857.16;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
31;7006776-1;46581360-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Пленка;Пленка для ламинирования, формат А3, прозрачного цвета, плотность 80 мкм., 100 листов в упаковке.;7;Одна пачка;3 284.44;22 991.08;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
32;7006776-1;46581361-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Ручка канцелярская;шариковая ручка с жидкими синими чернилами.;1106;Штука;200.10;221 310.60;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
33;7006776-1;46581362-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Скоба;Р-р 24, в одной пачке 1000 шт.;73;Одна пачка;85.30;6 226.90;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
34;7006776-1;46581363-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Скоба;Р-р 10, в одной пачке 1000 шт.;73;Одна пачка;85.30;6 226.90;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
35;7006776-1;46581364-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Скотч;канцелярский скотч ширина 48 мм, длина 200м., цвет прозрачный.;560;Штука;365.91;204 909.60;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
36;7006776-1;46581365-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Степлер;степлер 24/6, 1-50 л.;19;Штука;2 346.14;44 576.66;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
37;7006776-1;46581366-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Степлер;Степлер малый №10;19;Штука;2 346.14;44 576.66;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
38;7006776-1;46581347-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Калькулятор;Калькулятор Разрядность дисплея: 12 Тип размера: полноразмерный Размеры (ДхШхВ): 155x209x35 мм., тип питания: батарейка 1хLR44, количество функций 6 (вычисление квадратного корня, коррекция последнего введенного значения, кнопка «00», двойная память, расчет наценки и кнопка выключения);6;Штука;2 985.49;17 912.94;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
39;7006776-1;46581348-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Книга;144л., клетка, тв.переплет, бумвинил, офсет, А4, скреплена с помощью сшивки.;200;Штука;1 125.63;225 126.00;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
40;7006776-1;46581349-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Карандаш;с твердо-мягким грифелем, чернографитный;250;Штука;29.50;7 375.00;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
41;7006776-1;46581350-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Нож;ширина 18 мм, корпус пластик;20;Штука;121.97;2 439.40;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
42;7006776-1;46581351-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Клей;Клей-карандаш 36 грамм;100;Штука;469.54;46 954.00;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
43;7006776-1;46581352-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Ластик;Ластик из синтетического каучука с центровкой, белый;52;Штука;43.04;2 238.08;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
44;7006776-1;46581353-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Ножницы;нержавеющая сталь 19 см;20;Штука;439.25;8 785.00;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
45;7006776-1;46581367-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Стикер;Неоновые блист 5 цветов;233;Штука;119.58;27 862.14;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
46;7006776-1;46581368-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Тетрадь;48 л., клетка, А5;63;Штука;155.46;9 793.98;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
47;7006776-1;46581369-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Точилка;Точилка механическая;20;Штука;102.84;2 056.80;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
48;7004916-1;46580686-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Услуга;Услуги по продлению лицензий на право использования программного обеспечения;Продление ключа антивирусной программы Dr. Web Enterprise Security Suite лицензии на 1 год 90 пользователей и 1 сервер;1;Одна услуга;472 600.00;472 600.00;2022-02-28 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
49;6983377-1;51190370-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Смеситель;Смеситель для кухни. Тип монтажа настольное крепление. Гибкая подводка, стиль классика. Материал латунь. Покрытие хром. Излив вытяжной. Отверствие для монтажа 1. Тип дивертора кнопочный. Вес 2 кг. Снабжен керамическим картриджем диаметром 35мм. Защита от обратного потока. Аэратор, ограничитель температуры. Высота смесителя 224мм, диаметр отверстий для установки 34мм;2;Штука;71 428.57;142 857.14;2022-03-01 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
50;6983377-1;51190325-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Смеситель;Устройство душирующее. Подвод горячей и холодной воды. Кран. Металлическая оплетка для защиты от поломки и изгиба шланга. Душ поворачивается на 360 градусов. Крепление на стену с помощью кронштейна. Концы спирали с защитным слоем пластмассы. Максимальная температура подключаемой воды 100° С. Размер 190х140х1200мм. Вес 5 кг.;2;Штука;106 662.50;213 325.00;2022-03-01 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
51;6983113-1;51140624-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Огнетушитель;Огнетушитель ОП-5. СТ РК ГОСТ Р 51057-2005;204;Штука;6 062.50;1 236 750.00;2022-03-01 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
52;6983113-1;51140691-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Огнетушитель;Огнетушитель углекислотный – ОУ-10. СТ РК ГОСТ Р 51057-2005;3;Штука;32 651.79;97 955.37;2022-03-01 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
53;6983113-1;51140658-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Огнетушитель;Огнетушитель углекислотный – ОУ-5. СТ РК ГОСТ Р 51057-2005;42;Штука;15 464.29;649 500.18;2022-03-01 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
54;6980155-1;46581239-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Средство моющее;Концентрированное средство для удаления жира и грязи с различных поверхностей, чистящее средство для духовок и плит, эмалированных, из нержавеющей стали, бытовой кухонной техники в 5 литровых канистрах. Чистящее средство мгновенного удаляет самые стойкие застарелые и подгоревшие масложировые загрязнения от нагара, копоти с поверхностей кухонных плит, духовых шкафов, грилей, кастрюль, сковородок, с прочих поверхностей для приготовления пищи, пароуловителей, кафельной плитки в том числе и с охлажденных поверхностей. Чистит, обезжиривает, дезинфицирует, отбеливает поверхность. Состав: вода питьевая (30 % и более), гидроксид натрия (не менее 5 %, но не более 15%), изопропил, ПАВ, отдушка, краситель пищевой (менее 5%) Срок годности - 24 месяца с даты изготовления. В случае замерзания при размораживании сохраняет свои свойства.Основные особенности. средства Органическое.Основное назначение средства.Для дезинфекции, Для кухонь, Для грилей/барбекю, Для кафеля.Тип средства Жидкость.Вес 5000 г. Объем 5000 мл. Пользовательские характеристики. Основное назначение средства Для плит и грилей, Для духовок, Для дезинфекции, Для кухонь, Для грилей/барбекю, Для кафеля;8;Бутылка;4 588.90;36 711.20;2022-03-01 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
55;6980155-1;46581275-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Средство моющее;Средство чистящее для унитаза, гель 1 л., Уничтожает микробы. Инновационный изогнутый дозатор обеспечивает максимальную зону поражения микробов благодаря носику, который до 3 раз эффективнее в труднодоступных местах и под ободком унитаза. Благодаря особой густой формуле с дезинфицирующим эффектом и чистящими компонентами не только очищает, но и превосходно отбеливает фаянсовые поверхности. благодаря густой гелевой текстуре он расходуется намного дольше, чем обычные жидкие средства. Мнофункционален: он подходит не только для чистоты и гигиены унитаза, но и для удаления плесени, мыльного осадка, антимикробной обработки малых поверхностей и предотвращения известкового налета, обеспечивает 100%-ное уничтожение опасных микробов (включая грибок), настоящую гигиену дома и предотвращает различные кишечные заболевания, которые могут быть вызваны этими микробами. Гель обеспечивает 100%-ное уничтожение опасных микробов (включая грибок), настоящую гигиену дома и предотвращает различные кишечные заболевания, которые могут быть вызваны этими микробами. 75x55x205 мм. Состав: менее 5% Гипохлорит натрия, анионные ПАВ, амфотерные ПАВ, мыло, отдушка. Вес товара 0,6 кг., В пластиковой бутылке с изогнутой горловиной 7 струйный дозатор.Срок хранения 18 месяцев.;2;Бутылка;1 275.30;2 550.60;2022-03-01 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
56;6980155-1;46581197-ЗЦП3;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Пленка;ГОСТ 10354-82. Пленка рукав ПВД (для прачечных/химчисток) ширна 600 мм, плотность 20 мкм;240;Килограмм;2 180.00;523 200.00;2022-03-01 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
57;6980155-1;46581158-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Бумага;Бумага туалетная, двухслойная, белая, с тиснением и перфорацией, на втулке, влагопрочная, состав: 100% целлюлоза, длина намотки 25-26 м, ширина 9-10 см.;4080;Рулон;114.45;466 956.00;2022-03-01 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка состоялась
58;6980155-1;46581204-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Порошок;"Стиральный порошок, 450 гр., автомат, Для стирки цветных и белых изделий из х/б, льняных, синтетических тканей и тканей из смешанных волокон в стиральных машинах-автоматах и ручной стирки в воде любой жесткости. Для изделий из шерсти и шелка используйте специальные моющие средства. Для цветного. Состав: 5-15% анионные ПАВ; менее 5% неионогенные ПАВ, поликарбоксилаты, фосфонаты, мыло, энзимы, отдушка. Срок годности 3 года.";108;Одна пачка;599.50;64 746.00;2022-03-01 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
59;6980155-1;46581276-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Средство моющее;Средство чистящее для унитазов гель 500 мл. Удаляет налет и ржавчину, дезинфицирует, устраняет неприятный запах, благодаря уникальной форме горлышка лучше попадает в труднодоступные места скопления бактерий под ободком унитаза. Дезинфицирующий эффект достигается при 30 минутной экспозиции в отношении исследованных микроорганизмов (E.Coli 1257, Staphylococcus aureus 906, Pseudomonas aeruginosa ATCC F-51 27853, Candida albicans). Состав: вода, кислота соляная >5 % но <15 %, н-ПАВ <5 %, отдушка, амфотерное ПАВ <5 %, краситель, 2-(4-третбутилбензил)пропиональдегид. 90x60x270 мм (ДxШxВ). В пластиковой бутылке с изогнутой горловиной.Срок годности 2 года.;6;Бутылка;855.65;5 133.90;2022-03-01 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
60;6980155-1;46581243-ЗЦП1;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Средство моющее;Средство для растворения загрязнений труб канализации. Средство представляет собой раствор неорганической щелочи с активными добавками. Идеально подходит для удаления запаха системы канализации, эффективно разлагает загрязнения и остаточные пищевые отложения в трубопроводах. Состав:вода, красители, гидроксид натрия.Тип Специальное чистящее средство.Объем, мл 500.Форма выпуска средства жидкость. Назначение моющего, чистящего средства: Для прочистки труб, Для туалета, Для дезинфекции, Для дачных туалетов, Против запахов Особенности применения: Антибактериальный эффект,Концентрат,эффективен в холодной воде;96;Бутылка;236.53;22 706.88;2022-03-01 09:00:00;2022-03-10 18:00:00;Запрос ценовых предложений;Закупка не состоялась
